Unnamed: 0,Unnamed: 0.1,cell.line,drug1,drug1.conc,drug2,drug2.conc,rate,rate.95ci,loewe
0,0,PC9c1,dasatinib,0.0,osimertinib,1.9531e-10,0.0396849264952,0.00454785314801,
1,1,PC9c1,dasatinib,0.0,osimertinib,3.9063e-10,0.0375881611711,0.00393509017842,
2,2,PC9c1,dasatinib,0.0,osimertinib,7.8125e-10,0.0343109839629,0.00356880576379,
3,3,PC9c1,dasatinib,0.0,osimertinib,1.5625e-09,0.0320431975496,0.006084717113399999,
4,4,PC9c1,dasatinib,0.0,osimertinib,3.125e-09,0.0250131157361,0.004363505737770001,
5,5,PC9c1,dasatinib,0.0,osimertinib,6.25e-09,0.0157449735094,0.004976435594729999,
6,6,PC9c1,dasatinib,0.0,osimertinib,1.25e-08,0.00769962285707,0.0021397247201,
7,7,PC9c1,dasatinib,0.0,osimertinib,2.5e-08,0.00722664698874,0.00818722303275,
8,8,PC9c1,dasatinib,0.0,osimertinib,5e-08,-0.000829856469262,0.0013584120629900002,
9,9,PC9c1,dasatinib,0.0,osimertinib,1e-07,-0.00162989921478,0.00351877992157,
10,10,PC9c1,dasatinib,0.0,osimertinib,2e-07,0.00565775298583,0.00781945538956,
11,11,PC9c1,dasatinib,3.90625e-09,osimertinib,0.0,0.0135936556175,0.00262952421435,
12,12,PC9c1,dasatinib,3.90625e-09,osimertinib,1.9531e-10,0.0322861161915,0.00309601454648,0.021805512090702986
13,13,PC9c1,dasatinib,3.90625e-09,osimertinib,3.9063e-10,0.0283185232141,0.0029441891147399995,0.025382136869808627
14,14,PC9c1,dasatinib,3.90625e-09,osimertinib,7.8125e-10,0.0255539453995,0.00318759606393,0.03370575873962699
15,15,PC9c1,dasatinib,3.90625e-09,osimertinib,1.5625e-09,0.0195365162202,0.00399201899249,0.04636940523392205
16,16,PC9c1,dasatinib,3.90625e-09,osimertinib,3.125e-09,0.0125854001696,0.00370110710287,0.06480162519861882
17,17,PC9c1,dasatinib,3.90625e-09,osimertinib,6.25e-09,0.00349522829097,0.0032820150202900003,0.06551383026401494
18,18,PC9c1,dasatinib,3.90625e-09,osimertinib,1.25e-08,-0.00359419089427,0.00237790113402,
19,19,PC9c1,dasatinib,3.90625e-09,osimertinib,2.5e-08,-0.004968559422390001,0.00311113241619,
20,20,PC9c1,dasatinib,3.90625e-09,osimertinib,5e-08,-0.00515647482662,0.00204665834335,
21,21,PC9c1,dasatinib,3.90625e-09,osimertinib,1e-07,-0.0052213406464700005,0.0024671628306,
22,22,PC9c1,dasatinib,3.90625e-09,osimertinib,2e-07,-0.00438827546608,0.00390452360752,
23,23,PC9c1,dasatinib,7.8125e-09,osimertinib,0.0,0.00974254896593,0.00357469628529,
24,24,PC9c1,dasatinib,7.8125e-09,osimertinib,1.9531e-10,0.0280198896755,0.00335720563288,0.03532760384810913
25,25,PC9c1,dasatinib,7.8125e-09,osimertinib,3.9063e-10,0.0246285204119,0.00323034592997,0.037734164678011634
26,26,PC9c1,dasatinib,7.8125e-09,osimertinib,7.8125e-10,0.0200213556397,0.00386116051281,0.042559829321419766
27,27,PC9c1,dasatinib,7.8125e-09,osimertinib,1.5625e-09,0.0142878277672,0.00365737900809,0.050815272772362266
28,28,PC9c1,dasatinib,7.8125e-09,osimertinib,3.125e-09,0.006349225945409999,0.0034601926346,0.05550310352311866
29,29,PC9c1,dasatinib,7.8125e-09,osimertinib,6.25e-09,-0.0080762146434,0.00364914688527,
30,30,PC9c1,dasatinib,7.8125e-09,osimertinib,1.25e-08,-0.007777606918189998,0.00494245548567,
31,31,PC9c1,dasatinib,7.8125e-09,osimertinib,2.5e-08,-0.0111691275678,0.0048713523170100005,
32,32,PC9c1,dasatinib,7.8125e-09,osimertinib,5e-08,-0.0104717678273,0.005155088065880001,
33,33,PC9c1,dasatinib,7.8125e-09,osimertinib,1e-07,-0.00972989315442,0.00540869587824,
34,34,PC9c1,dasatinib,7.8125e-09,osimertinib,2e-07,-0.00797166303651,0.00360883853381,
35,35,PC9c1,dasatinib,1.5625e-08,osimertinib,0.0,0.005286521119390001,0.00376983497681,
36,36,PC9c1,dasatinib,1.5625e-08,osimertinib,1.9531e-10,0.021921900970900004,0.00376414192938,0.057718813657156115
37,37,PC9c1,dasatinib,1.5625e-08,osimertinib,3.9063e-10,0.0188448402017,0.00321896697964,0.05776065178237523
38,38,PC9c1,dasatinib,1.5625e-08,osimertinib,7.8125e-10,0.0147709139291,0.00383957347313,0.05904543680168486
39,39,PC9c1,dasatinib,1.5625e-08,osimertinib,1.5625e-09,0.00938583713976,0.00506520765755,0.060833724012627544
40,40,PC9c1,dasatinib,1.5625e-08,osimertinib,3.125e-09,-0.00654117322544,0.00597213777383,
41,41,PC9c1,dasatinib,1.5625e-08,osimertinib,6.25e-09,-0.0186973429915,0.00790271533302,
42,42,PC9c1,dasatinib,1.5625e-08,osimertinib,1.25e-08,-0.0232141125663,0.0074863926201199985,
43,43,PC9c1,dasatinib,1.5625e-08,osimertinib,2.5e-08,-0.0264297871716,0.0120359578514,
44,44,PC9c1,dasatinib,1.5625e-08,osimertinib,5e-08,-0.0209014344773,0.00906211295027,
45,45,PC9c1,dasatinib,1.5625e-08,osimertinib,1e-07,-0.019486129988,0.00860031001355,
46,46,PC9c1,dasatinib,1.5625e-08,osimertinib,2e-07,-0.0157070792507,0.00722455421363,
47,47,PC9c1,dasatinib,3.125e-08,osimertinib,0.0,-0.00784522824687,0.00405440537971,
48,48,PC9c1,dasatinib,3.125e-08,osimertinib,1.9531e-10,0.01715492868,0.00415733695161,0.09866153258324944
49,49,PC9c1,dasatinib,3.125e-08,osimertinib,3.9063e-10,0.00666162521113,0.0015930763665299998,0.07206164596528497
50,50,PC9c1,dasatinib,3.125e-08,osimertinib,7.8125e-10,0.00778921156983,0.00427106576144,0.08094772871693862
51,51,PC9c1,dasatinib,3.125e-08,osimertinib,1.5625e-09,-0.0104684747728,0.00472685714944,
52,52,PC9c1,dasatinib,3.125e-08,osimertinib,3.125e-09,-0.0104842464237,0.005857990225850001,
53,53,PC9c1,dasatinib,3.125e-08,osimertinib,6.25e-09,-0.014473583464,0.0117251897927,
54,54,PC9c1,dasatinib,3.125e-08,osimertinib,1.25e-08,-0.0224518568398,0.0115244930166,
55,55,PC9c1,dasatinib,3.125e-08,osimertinib,2.5e-08,-0.0266411695524,0.0124253242752,
56,56,PC9c1,dasatinib,3.125e-08,osimertinib,5e-08,-0.0222518107414,0.00888950981669,
57,57,PC9c1,dasatinib,3.125e-08,osimertinib,1e-07,-0.0254476755272,0.0101390440706,
58,58,PC9c1,dasatinib,3.125e-08,osimertinib,2e-07,-0.0208740686851,0.007853543698279999,
59,59,PC9c1,dasatinib,6.25e-08,osimertinib,0.0,-0.00951893626731,0.006344168931840001,
60,60,PC9c1,dasatinib,6.25e-08,osimertinib,1.9531e-10,0.00875744452391,0.00616053558513,0.14850328453367687
61,61,PC9c1,dasatinib,6.25e-08,osimertinib,3.9063e-10,0.00787277125024,0.0049689005629,0.14624269632959358
62,62,PC9c1,dasatinib,6.25e-08,osimertinib,7.8125e-10,-0.00896393381435,0.00565879591445,
63,63,PC9c1,dasatinib,6.25e-08,osimertinib,1.5625e-09,-0.0102335302833,0.007344279985139999,
64,64,PC9c1,dasatinib,6.25e-08,osimertinib,3.125e-09,-0.00922818164343,0.0075373863550600015,
65,65,PC9c1,dasatinib,6.25e-08,osimertinib,6.25e-09,-0.023477881200900004,0.0168628015149,
66,66,PC9c1,dasatinib,6.25e-08,osimertinib,1.25e-08,-0.0271401937736,0.0121821831645,
67,67,PC9c1,dasatinib,6.25e-08,osimertinib,5e-08,-0.0282228554079,0.00940494602914,
68,68,PC9c1,dasatinib,6.25e-08,osimertinib,1e-07,-0.0220866807419,0.00917877255421,
69,69,PC9c1,dasatinib,6.25e-08,osimertinib,2e-07,-0.0189417424582,0.006837701798520001,
70,70,PC9c1,dasatinib,1.25e-07,osimertinib,0.0,-0.0171749904293,0.008460940862050001,
71,71,PC9c1,dasatinib,1.25e-07,osimertinib,1.9531e-10,-0.0105651738749,0.00236250813725,
72,72,PC9c1,dasatinib,1.25e-07,osimertinib,3.9063e-10,-0.0127172408806,0.00355009113426,
73,73,PC9c1,dasatinib,1.25e-07,osimertinib,7.8125e-10,-0.0118210192591,0.00576791977146,
74,74,PC9c1,dasatinib,1.25e-07,osimertinib,1.5625e-09,-0.016197544517700002,0.00479746161966,
75,75,PC9c1,dasatinib,1.25e-07,osimertinib,3.125e-09,-0.0191507969262,0.0101414208839,
76,76,PC9c1,dasatinib,1.25e-07,osimertinib,6.25e-09,-0.0270448789017,0.0142037054418,
77,77,PC9c1,dasatinib,1.25e-07,osimertinib,1.25e-08,-0.0252303175634,0.0101241370851,
78,78,PC9c1,dasatinib,1.25e-07,osimertinib,2.5e-08,-0.017655318001000002,0.007508059767090002,
79,79,PC9c1,dasatinib,1.25e-07,osimertinib,5e-08,-0.0243685374471,0.00975826744778,
80,80,PC9c1,dasatinib,1.25e-07,osimertinib,1e-07,-0.0223423681468,0.00979306188447,
81,81,PC9c1,dasatinib,1.25e-07,osimertinib,2e-07,-0.0150227989257,0.007713620919069998,
