column,row,cell.count,time,well,nl2,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,expt.date,cell.line,plate.name,expt.id
2,B,273,0,B02,0,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
2,B,405,18.3139,B02,0.5690209569,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
2,B,457,24.9008,B02,0.7432932141,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
2,B,760,38.9567,B02,1.4770984674,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
2,B,875,49.105,B02,1.6803820658,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
2,B,1187,63.1464,B02,2.1203470787,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
2,B,1356,71.8194,B02,2.3123843222,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
2,B,2140,90.1281,B02,2.9706379404,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
2,B,1964,97.5833,B02,2.8468220734,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
2,B,2989,112.5167,B02,3.4526900408,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
2,B,3203,120.8161,B02,3.5524509419,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
2,B,3545,136.3708,B02,3.6988127712,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
2,B,3738,145.5939,B02,3.7752937128,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
3,B,256,0,B03,0,linsitinib,0.000005,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
3,B,437,18.3139,B03,0.7714894695,linsitinib,0.000005,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
3,B,497,24.9008,B03,0.9571020416,linsitinib,0.000005,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
3,B,738,38.9567,B03,1.5274770061,linsitinib,0.000005,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
3,B,760,49.105,B03,1.5698556083,linsitinib,0.000005,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
3,B,845,63.1464,B03,1.7228075312,linsitinib,0.000005,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
3,B,847,71.8194,B03,1.7262181593,linsitinib,0.000005,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
3,B,890,90.1281,B03,1.7976615259,linsitinib,0.000005,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
3,B,817,97.5833,B03,1.6741922681,linsitinib,0.000005,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
3,B,886,112.5167,B03,1.7911628886,linsitinib,0.000005,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
3,B,889,120.8161,B03,1.7960396088,linsitinib,0.000005,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
3,B,859,136.3708,B03,1.7465143211,linsitinib,0.000005,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
3,B,866,145.5939,B03,1.7582232147,linsitinib,0.000005,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
4,B,310,0,B04,0,linsitinib,0.0000025,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
4,B,565,18.3139,B04,0.865982652,linsitinib,0.0000025,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
4,B,593,24.9008,B04,0.9357638893,linsitinib,0.0000025,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
4,B,916,38.9567,B04,1.5630793828,linsitinib,0.0000025,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
4,B,961,49.105,B04,1.6322682155,linsitinib,0.0000025,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
4,B,989,63.1464,B04,1.6737023055,linsitinib,0.0000025,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
4,B,1021,71.8194,B04,1.7196427456,linsitinib,0.0000025,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
4,B,1026,90.1281,B04,1.7266906103,linsitinib,0.0000025,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
4,B,878,97.5833,B04,1.5019527243,linsitinib,0.0000025,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
4,B,1041,112.5167,B04,1.747629948,linsitinib,0.0000025,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
4,B,1030,120.8161,B04,1.7323042168,linsitinib,0.0000025,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
4,B,1050,136.3708,B04,1.7600492073,linsitinib,0.0000025,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
4,B,1042,145.5939,B04,1.749015157,linsitinib,0.0000025,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
5,B,310,0,B05,0,linsitinib,0.00000125,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
5,B,585,18.3139,B05,0.9161684092,linsitinib,0.00000125,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
5,B,625,24.9008,B05,1.0115879743,linsitinib,0.00000125,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
5,B,901,38.9567,B05,1.5392588905,linsitinib,0.00000125,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib
