expt.id,expt.date,plate.name,plate.id,well,uid,cell.line,time,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,cell.count,ch2.pos,image.time,orig.cell.count,ch2posfrac,per_via,per_via_std,bliss,loewe_pervia,CI,loewe
HTS018,2017-07-28,PC9c1-O1a,95633,O02,PC9c1-O1a_O02,PC9c1,-16.5,control,0.0,M,control,0.0,M,40,0,2017-07-27 22:31:34,40,0.0,0.915635333201,0.0626156166553,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,N02,PC9c1-O1a_N02,PC9c1,-16.5,control,0.0,M,control,0.0,M,37,0,2017-07-27 22:31:34,37,0.0,0.978064189274,0.06688480677759999,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,M02,PC9c1-O1a_M02,PC9c1,-16.5,control,0.0,M,control,0.0,M,35,0,2017-07-27 22:31:34,35,0.0,0.845306158643,0.0578061641646,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,L02,PC9c1-O1a_L02,PC9c1,-16.5,control,0.0,M,control,0.0,M,38,0,2017-07-27 22:31:34,38,0.0,1.0233707138700001,0.06998308823680001,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,K02,PC9c1-O1a_K02,PC9c1,-16.5,control,0.0,M,control,0.0,M,40,0,2017-07-27 22:31:34,40,0.0,0.8715928139200001,0.0596037740539,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,J02,PC9c1-O1a_J02,PC9c1,-16.5,control,0.0,M,control,0.0,M,27,0,2017-07-27 22:31:34,27,0.0,1.01224379074,0.0692221748817,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,I02,PC9c1-O1a_I02,PC9c1,-16.5,control,0.0,M,control,0.0,M,40,0,2017-07-27 22:31:34,40,0.0,0.6962647930589999,0.047613987569,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,H02,PC9c1-O1a_H02,PC9c1,-16.5,control,0.0,M,control,0.0,M,49,0,2017-07-27 22:31:34,49,0.0,0.971142783592,0.06641148724830001,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,G02,PC9c1-O1a_G02,PC9c1,-16.5,control,0.0,M,control,0.0,M,30,0,2017-07-27 22:31:34,30,0.0,0.899374886335,0.0615036478718,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,F02,PC9c1-O1a_F02,PC9c1,-16.5,control,0.0,M,control,0.0,M,44,0,2017-07-27 22:31:34,44,0.0,0.9040161183230001,0.061821037986000006,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,E02,PC9c1-O1a_E02,PC9c1,-16.5,control,0.0,M,control,0.0,M,49,0,2017-07-27 22:31:34,49,0.0,0.899079221454,0.061483428863000004,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,D02,PC9c1-O1a_D02,PC9c1,-16.5,control,0.0,M,control,0.0,M,40,0,2017-07-27 22:31:34,40,0.0,0.764167771858,0.0522575249425,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,C02,PC9c1-O1a_C02,PC9c1,-16.5,control,0.0,M,control,0.0,M,47,0,2017-07-27 22:31:34,47,0.0,0.826715478097,0.056534842619699995,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,B02,PC9c1-O1a_B02,PC9c1,-16.5,control,0.0,M,control,0.0,M,45,0,2017-07-27 22:31:34,45,0.0,0.888596922036,0.06076659802630001,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,B03,PC9c1-O1a_B03,PC9c1,-16.5,osimertinib,2e-07,M,cisplatin,4e-07,M,45,0,2017-07-27 22:31:34,45,0.0,0.359853922574,0.0246085689912,-0.029475903222718647,,2.1431094716709307,2.7529561426605738
HTS018,2017-07-28,PC9c1-O1a,95633,C03,PC9c1-O1a_C03,PC9c1,-16.5,osimertinib,5e-08,M,cisplatin,4e-07,M,45,1,2017-07-27 22:31:34,45,0.022222222222199998,0.298597969956,0.020419587736400003,-0.038168848711230774,,0.2464588272685944,0.6562372340753683
HTS018,2017-07-28,PC9c1-O1a,95633,D03,PC9c1-O1a_D03,PC9c1,-16.5,osimertinib,1.2e-08,M,cisplatin,4e-07,M,30,0,2017-07-27 22:31:34,30,0.0,0.372402858508,0.0254667265276,0.051604470897053,,0.16506792522808011,0.8154452414794773
HTS018,2017-07-28,PC9c1-O1a,95633,E03,PC9c1-O1a_E03,PC9c1,-16.5,osimertinib,3.1e-09,M,cisplatin,4e-07,M,40,0,2017-07-27 22:31:34,40,0.0,0.522128646569,0.035705707275400005,0.015913993335105903,,0.32146672974043833,1.1278589406809978
HTS018,2017-07-28,PC9c1-O1a,95633,F03,PC9c1-O1a_F03,PC9c1,-16.5,osimertinib,7.8e-10,M,cisplatin,4e-07,M,35,1,2017-07-27 22:31:34,35,0.0285714285714,0.5939076728480001,0.0406143077088,0.06193493724478161,,0.37173028173949574,1.0512807066496928
HTS018,2017-07-28,PC9c1-O1a,95633,G03,PC9c1-O1a_G03,PC9c1,-16.5,osimertinib,2e-10,M,cisplatin,4e-07,M,40,0,2017-07-27 22:31:34,40,0.0,0.8233912222399999,0.056307513766300006,-0.13823783282795532,,9.039370196839974,1.8078692271666557
HTS018,2017-07-28,PC9c1-O1a,95633,H03,PC9c1-O1a_H03,PC9c1,-16.5,osimertinib,0.0,M,cisplatin,4e-07,M,35,0,2017-07-27 22:31:34,35,0.0,0.761562147255,0.0520793396046,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,I03,PC9c1-O1a_I03,PC9c1,-16.5,osimertinib,2e-07,M,everolimus,4e-06,M,33,0,2017-07-27 22:31:34,33,0.0,0.189665880339,0.012970279351700002,0.06652744584166104,,0.17425499496854596,
HTS018,2017-07-28,PC9c1-O1a,95633,J03,PC9c1-O1a_J03,PC9c1,-16.5,osimertinib,5e-08,M,everolimus,4e-06,M,26,0,2017-07-27 22:31:34,26,0.0,0.22459810529100002,0.015359115526100002,-0.022647010187840544,,0.08008320239310922,
HTS018,2017-07-28,PC9c1-O1a,95633,K03,PC9c1-O1a_K03,PC9c1,-16.5,osimertinib,1.2e-08,M,everolimus,4e-06,M,36,0,2017-07-27 22:31:34,36,0.0,0.242296477441,0.0165694166643,0.08650217647234912,,0.0254981546439089,
HTS018,2017-07-28,PC9c1-O1a,95633,L03,PC9c1-O1a_L03,PC9c1,-16.5,osimertinib,3.1e-09,M,everolimus,4e-06,M,45,0,2017-07-27 22:31:34,45,0.0,0.258507800126,0.017678026096400002,0.15872011901559452,,0.008430965164332014,
HTS018,2017-07-28,PC9c1-O1a,95633,M03,PC9c1-O1a_M03,PC9c1,-16.5,osimertinib,7.8e-10,M,everolimus,4e-06,M,47,0,2017-07-27 22:31:34,47,0.0,0.378744681282,0.0259004113466,0.12983182771396518,,0.01047133781947731,
HTS018,2017-07-28,PC9c1-O1a,95633,N03,PC9c1-O1a_N03,PC9c1,-16.5,osimertinib,2e-10,M,everolimus,4e-06,M,45,0,2017-07-27 22:31:34,45,0.0,0.44717500794200005,0.030580011342799997,0.08413069490740055,,0.006091467359143323,
HTS018,2017-07-28,PC9c1-O1a,95633,O03,PC9c1-O1a_O03,PC9c1,-16.5,osimertinib,0.0,M,everolimus,4e-06,M,22,0,2017-07-27 22:31:34,22,0.0,0.590557265225,0.0403851904699,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,O04,PC9c1-O1a_O04,PC9c1,-16.5,osimertinib,0.0,M,everolimus,1e-06,M,51,0,2017-07-27 22:31:34,51,0.0,0.55206307296,0.0377527695717,,,,
HTS018,2017-07-28,PC9c1-O1a,95633,N04,PC9c1-O1a_N04,PC9c1,-16.5,osimertinib,2e-10,M,everolimus,1e-06,M,28,0,2017-07-27 22:31:34,28,0.0,0.34199070386299996,0.0233869948399,0.154682991082504,,0.0017020496508739866,
HTS018,2017-07-28,PC9c1-O1a,95633,M04,PC9c1-O1a_M04,PC9c1,-16.5,osimertinib,7.8e-10,M,everolimus,1e-06,M,42,0,2017-07-27 22:31:34,42,0.0,0.46595419185099995,0.031864223668499995,0.009471862360035443,,0.02938499165635936,
HTS018,2017-07-28,PC9c1-O1a,95633,L04,PC9c1-O1a_L04,PC9c1,-16.5,osimertinib,3.1e-09,M,everolimus,1e-06,M,41,0,2017-07-27 22:31:34,41,0.0,0.479310012445,0.0327775599194,-0.08927818872633331,,0.13645683226373592,
HTS018,2017-07-28,PC9c1-O1a,95633,K04,PC9c1-O1a_K04,PC9c1,-16.5,osimertinib,1.2e-08,M,everolimus,1e-06,M,40,0,2017-07-27 22:31:34,40,0.0,0.247608600145,0.0169326855627,0.05975802787431253,,0.027678706751963735,
HTS018,2017-07-28,PC9c1-O1a,95633,J04,PC9c1-O1a_J04,PC9c1,-16.5,osimertinib,5e-08,M,everolimus,1e-06,M,45,0,2017-07-27 22:31:34,45,0.0,0.21185906396200002,0.014487957654099999,-0.02307171222599136,,0.06469570443126592,
HTS018,2017-07-28,PC9c1-O1a,95633,I04,PC9c1-O1a_I04,PC9c1,-16.5,osimertinib,2e-07,M,everolimus,1e-06,M,37,0,2017-07-27 22:31:34,37,0.0,0.21191328277,0.014491665401000001,0.027580638059596846,,0.2590229704079793,
