column,row,cell.count,time,well,nl2,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,expt.date,cell.line,plate.id,expt.id,per_via,per_via_std,bliss,loewe_pervia,CI,loewe
2,B,273,0,B02,0,linsitinib,0.0,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.5139758839999999,0.035496036200000004,,,,
3,B,256,0,B03,0,linsitinib,5e-06,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3409939432,0.0235496134,,,,
4,B,310,0,B04,0,linsitinib,2.5e-06,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.33929390000000004,0.023432205600000002,,,,
5,B,310,0,B05,0,linsitinib,1.25e-06,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.32787494170000003,0.0226435932,,,,
6,B,332,0,B06,0,linsitinib,6.25e-07,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.35897669060000004,0.0247915321,,,,
7,B,243,0,B07,0,linsitinib,3.125e-07,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.4018435075,0.0277519863,,,,
8,B,283,0,B08,0,linsitinib,1.5625e-07,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.40954491740000004,0.0282838586,,,,
9,B,273,0,B09,0,linsitinib,7.8125e-08,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.4556612844,0.0314687322,,,,
10,B,284,0,B10,0,linsitinib,3.9063e-08,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.44165437960000004,0.0305013919,,,,
11,B,218,0,B11,0,linsitinib,1.9531e-08,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.5074096603,0.035042561800000004,,,,
2,C,271,0,C02,0,linsitinib,0.0,M,osimertinib,2e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.39744873270000003,0.0274484758,,,,
3,C,371,0,C03,0,linsitinib,5e-06,M,osimertinib,2e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3194351699,0.0220607284,-0.1839075593167842,,3.3264933088600994,
4,C,410,0,C04,0,linsitinib,2.5e-06,M,osimertinib,2e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3252069812,0.022459339300000002,-0.19035505063215946,,2.985693189332536,
5,C,410,0,C05,0,linsitinib,1.25e-06,M,osimertinib,2e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3082895179,0.021290991000000002,-0.17797603783724858,,2.1705404393131547,
