BlockId,Col,Row,Value,Replicate
1,1.0,1.0,14.474993,1
1,2.0,1.0,28.676052,1
1,3.0,1.0,48.732853,1
1,4.0,1.0,87.83152,1
1,5.0,1.0,95.498215,1
1,6.0,1.0,107.08472,1
1,1.0,2.0,27.756083,1
1,2.0,2.0,32.641487,1
1,3.0,2.0,58.319412,1
1,4.0,2.0,102.61983,1
1,5.0,2.0,121.307884,1
1,6.0,2.0,127.7844,1
1,1.0,3.0,29.385653,1
1,2.0,3.0,40.01661,1
1,3.0,3.0,47.64656,1
1,4.0,3.0,101.66422,1
1,5.0,3.0,104.186424,1
1,6.0,3.0,111.73902,1
1,1.0,4.0,23.841803,1
1,2.0,4.0,31.663637,1
1,3.0,4.0,55.086502,1
1,4.0,4.0,91.062355,1
1,5.0,4.0,107.619644,1
1,6.0,4.0,121.49063,1
1,1.0,5.0,26.949268,1
1,2.0,5.0,29.997416,1
1,3.0,5.0,63.292454,1
1,4.0,5.0,75.98061,1
1,5.0,5.0,99.06548,1
1,6.0,5.0,155.4477,1
1,1.0,6.0,25.806702,1
1,2.0,6.0,31.798246,1
1,3.0,6.0,52.973797,1
1,4.0,6.0,87.24015,1
1,5.0,6.0,121.06361,1
1,6.0,6.0,131.60458,1
2,1.0,1.0,29.801924,1
2,2.0,1.0,39.206524,1
2,3.0,1.0,62.363758,1
2,4.0,1.0,118.00928,1
2,5.0,1.0,108.924,1
2,6.0,1.0,110.91488,1
2,1.0,2.0,31.74158,1
2,2.0,2.0,36.245605,1
2,3.0,2.0,69.244606,1
2,4.0,2.0,106.69322,1
2,5.0,2.0,102.95666,1
2,6.0,2.0,120.22664,1
2,1.0,3.0,28.016712,1
2,2.0,3.0,41.870033,1
2,3.0,3.0,52.727165,1
2,4.0,3.0,95.64314,1
2,5.0,3.0,102.80574,1
2,6.0,3.0,115.9151,1
2,1.0,4.0,21.58653,1
2,2.0,4.0,34.21804,1
2,3.0,4.0,54.650093,1
2,4.0,4.0,111.27824,1
2,5.0,4.0,106.89332,1
2,6.0,4.0,135.62582,1
2,1.0,5.0,20.136543,1
2,2.0,5.0,38.628124,1
2,3.0,5.0,53.664227,1
2,4.0,5.0,101.9105,1
2,5.0,5.0,106.87818,1
2,6.0,5.0,121.9336,1
2,1.0,6.0,18.986855,1
2,2.0,6.0,30.399384,1
2,3.0,6.0,57.1681,1
2,4.0,6.0,107.812164,1
2,5.0,6.0,110.976845,1
2,6.0,6.0,127.42427,1
