,cell.line,drug1,drug1.conc,drug2,drug2.conc,rate,rate.95ci
0,PC9c1,linsitinib,0.0,osimertinib,1.9531e-10,0.0344481754987,0.00497171577695
1,PC9c1,linsitinib,0.0,osimertinib,3.9063e-10,0.0357086635877,0.00533862604456
2,PC9c1,linsitinib,0.0,osimertinib,7.8125e-10,0.0291531925514,0.00534989828516
3,PC9c1,linsitinib,0.0,osimertinib,1.5625e-09,0.0337603987994,0.00432257409104
4,PC9c1,linsitinib,0.0,osimertinib,3.125e-09,0.0270676136414,0.00548306473618
5,PC9c1,linsitinib,0.0,osimertinib,6.25e-09,0.0190266294181,0.00431788913179
6,PC9c1,linsitinib,0.0,osimertinib,2.5e-08,0.00829904861801,0.00833610946863
7,PC9c1,linsitinib,0.0,osimertinib,5e-08,0.00642716063113,0.00774345276558
8,PC9c1,linsitinib,0.0,osimertinib,1e-07,-0.00191774803839,0.00246945552308
9,PC9c1,linsitinib,0.0,osimertinib,2e-07,0.00420859187959,0.0134101237085
10,PC9c1,linsitinib,1.9531e-08,osimertinib,0.0,0.0159726645237,0.0032792173441
11,PC9c1,linsitinib,1.9531e-08,osimertinib,1.9531e-10,0.0307160138074,0.00402786928334
12,PC9c1,linsitinib,1.9531e-08,osimertinib,3.9063e-10,0.0248884392827,0.00200304198161
13,PC9c1,linsitinib,1.9531e-08,osimertinib,7.8125e-10,0.0323202240972,0.00623644116483
14,PC9c1,linsitinib,1.9531e-08,osimertinib,1.5625e-09,0.0258781185084,0.00642319364649
15,PC9c1,linsitinib,1.9531e-08,osimertinib,3.125e-09,0.0162082353647,0.00516975885871
16,PC9c1,linsitinib,1.9531e-08,osimertinib,6.25e-09,0.00867882931901,0.00370260613197
17,PC9c1,linsitinib,1.9531e-08,osimertinib,2.5e-08,-0.00298012824407,0.0013064026436
18,PC9c1,linsitinib,1.9531e-08,osimertinib,5e-08,-0.00310232072527,0.00194294020336
19,PC9c1,linsitinib,1.9531e-08,osimertinib,1e-07,-0.00257327603545,0.00208455931889
20,PC9c1,linsitinib,1.9531e-08,osimertinib,2e-07,-0.00399175123343,0.00503550699424
21,PC9c1,linsitinib,3.9063e-08,osimertinib,0.0,0.0124781953582,0.00339501429984
22,PC9c1,linsitinib,3.9063e-08,osimertinib,1.9531e-10,0.0251465915519,0.003179724174
23,PC9c1,linsitinib,3.9063e-08,osimertinib,3.9063e-10,0.0203597730349,0.00237116505792
24,PC9c1,linsitinib,3.9063e-08,osimertinib,7.8125e-10,0.0287146925817,0.00715713068001
25,PC9c1,linsitinib,3.9063e-08,osimertinib,1.5625e-09,0.0223827249652,0.00653503113939
26,PC9c1,linsitinib,3.9063e-08,osimertinib,3.125e-09,0.0148709672562,0.00508529660881
27,PC9c1,linsitinib,3.9063e-08,osimertinib,6.25e-09,0.00629346555072,0.00312022455528
28,PC9c1,linsitinib,3.9063e-08,osimertinib,2.5e-08,-0.00281316025828,0.00165646532556
29,PC9c1,linsitinib,3.9063e-08,osimertinib,5e-08,-0.00493551474651,0.00231223632606
30,PC9c1,linsitinib,3.9063e-08,osimertinib,1e-07,-0.00285145518595,0.00293817996188
31,PC9c1,linsitinib,3.9063e-08,osimertinib,2e-07,-0.00363619729567,0.0041621182741
32,PC9c1,linsitinib,7.8125e-08,osimertinib,0.0,0.0122036853292,0.00377142909001
33,PC9c1,linsitinib,7.8125e-08,osimertinib,1.9531e-10,0.0295634169875,0.00327507202106
34,PC9c1,linsitinib,7.8125e-08,osimertinib,3.9063e-10,0.0173889826252,0.00194672245444
35,PC9c1,linsitinib,7.8125e-08,osimertinib,7.8125e-10,0.0262523486792,0.00800684982447
36,PC9c1,linsitinib,7.8125e-08,osimertinib,1.5625e-09,0.0247208673849,0.00610683182394
37,PC9c1,linsitinib,7.8125e-08,osimertinib,3.125e-09,0.01448150945,0.00541544080657
38,PC9c1,linsitinib,7.8125e-08,osimertinib,6.25e-09,0.00443933127383,0.00305569459976
39,PC9c1,linsitinib,7.8125e-08,osimertinib,2.5e-08,-0.00410296260203,0.00279978411526
40,PC9c1,linsitinib,7.8125e-08,osimertinib,5e-08,-0.00532090141344,0.00220585614363
41,PC9c1,linsitinib,7.8125e-08,osimertinib,1e-07,-0.0042675049827,0.00231363468729
42,PC9c1,linsitinib,7.8125e-08,osimertinib,2e-07,-0.00364935969855,0.00244044138652
43,PC9c1,linsitinib,1.5625e-07,osimertinib,0.0,0.0103834631148,0.00259347951004
44,PC9c1,linsitinib,1.5625e-07,osimertinib,1.9531e-10,0.0284297392836,0.00399717410842
45,PC9c1,linsitinib,1.5625e-07,osimertinib,3.9063e-10,0.019505615858,0.00358415214168
46,PC9c1,linsitinib,1.5625e-07,osimertinib,7.8125e-10,0.0165680244343,0.00895453088371
47,PC9c1,linsitinib,1.5625e-07,osimertinib,1.5625e-09,0.0201880708888,0.00743155346002
48,PC9c1,linsitinib,1.5625e-07,osimertinib,3.125e-09,0.0144754971269,0.00508319333213
