,cell.line,drug1,drug1.conc,drug2,drug2.conc,rate,rate.95ci
49,PC9c1,linsitinib,1.5625e-07,osimertinib,6.25e-09,-0.00561179453327,0.000552997927364
50,PC9c1,linsitinib,1.5625e-07,osimertinib,2.5e-08,-0.00681889712614,0.00375585131998
51,PC9c1,linsitinib,1.5625e-07,osimertinib,5e-08,-0.00587692713537,0.00237124847915
52,PC9c1,linsitinib,1.5625e-07,osimertinib,1e-07,-0.00345694038847,0.00292375127108
53,PC9c1,linsitinib,1.5625e-07,osimertinib,2e-07,-0.00317994523985,0.0011613048551
54,PC9c1,linsitinib,3.125e-07,osimertinib,0.0,0.00839343745416,0.00207414431454
55,PC9c1,linsitinib,3.125e-07,osimertinib,1.9531e-10,0.0279278185346,0.00344553757935
56,PC9c1,linsitinib,3.125e-07,osimertinib,3.9063e-10,0.0173224788099,0.00390870126747
57,PC9c1,linsitinib,3.125e-07,osimertinib,7.8125e-10,0.0238671952732,0.00639859679116
58,PC9c1,linsitinib,3.125e-07,osimertinib,1.5625e-09,0.0183395783238,0.00589695843786
59,PC9c1,linsitinib,3.125e-07,osimertinib,3.125e-09,0.00996269333166,0.00428292376111
60,PC9c1,linsitinib,3.125e-07,osimertinib,6.25e-09,-0.00472681955012,0.00347419333081
61,PC9c1,linsitinib,3.125e-07,osimertinib,2.5e-08,-0.0070898525052,0.0021670907362
62,PC9c1,linsitinib,3.125e-07,osimertinib,5e-08,-0.00748263474582,0.00378225371866
63,PC9c1,linsitinib,3.125e-07,osimertinib,1e-07,-0.00645146333946,0.00275246754515
64,PC9c1,linsitinib,3.125e-07,osimertinib,2e-07,-0.00459986159431,0.00187976039846
65,PC9c1,linsitinib,6.25e-07,osimertinib,0.0,0.0036684244936,0.00235043194186
66,PC9c1,linsitinib,6.25e-07,osimertinib,1.9531e-10,0.0262662533542,0.00395794908301
67,PC9c1,linsitinib,6.25e-07,osimertinib,3.9063e-10,0.0192488831303,0.00571785107169
68,PC9c1,linsitinib,6.25e-07,osimertinib,7.8125e-10,0.024864012711,0.00608008705913
69,PC9c1,linsitinib,6.25e-07,osimertinib,1.5625e-09,0.0185933899409,0.00568818024339
70,PC9c1,linsitinib,6.25e-07,osimertinib,3.125e-09,0.00705137918546,0.0035171653962
71,PC9c1,linsitinib,6.25e-07,osimertinib,6.25e-09,-0.00273906106312,0.00208810169656
72,PC9c1,linsitinib,6.25e-07,osimertinib,2.5e-08,-0.0095855399503,0.00372239728011
73,PC9c1,linsitinib,6.25e-07,osimertinib,5e-08,-0.00786876407519,0.00281628021076
74,PC9c1,linsitinib,6.25e-07,osimertinib,1e-07,-0.00724933557944,0.00254870191898
75,PC9c1,linsitinib,6.25e-07,osimertinib,2e-07,-0.00439414956851,0.00173814842076
76,PC9c1,linsitinib,1.25e-06,osimertinib,0.0,-0.00163942492474,0.00364581298333
77,PC9c1,linsitinib,1.25e-06,osimertinib,1.9531e-10,0.0253123781305,0.00357890642734
78,PC9c1,linsitinib,1.25e-06,osimertinib,3.9063e-10,0.0194213909008,0.00731216494797
79,PC9c1,linsitinib,1.25e-06,osimertinib,7.8125e-10,0.0232960113948,0.00563882645036
80,PC9c1,linsitinib,1.25e-06,osimertinib,1.5625e-09,0.0181672099951,0.00565677466214
81,PC9c1,linsitinib,1.25e-06,osimertinib,3.125e-09,0.00513976724114,0.00273384956528
82,PC9c1,linsitinib,1.25e-06,osimertinib,6.25e-09,-0.0071450772454,0.0038209411012
83,PC9c1,linsitinib,1.25e-06,osimertinib,2.5e-08,-0.0101224133958,0.00389116287065
84,PC9c1,linsitinib,1.25e-06,osimertinib,5e-08,-0.0084790860896,0.00335033587132
85,PC9c1,linsitinib,1.25e-06,osimertinib,1e-07,-0.00775274512213,0.00254836808069
86,PC9c1,linsitinib,1.25e-06,osimertinib,2e-07,-0.00618943976822,0.00274801286875
87,PC9c1,linsitinib,2.5e-06,osimertinib,0.0,0.00439625218421,0.00851700005404
88,PC9c1,linsitinib,2.5e-06,osimertinib,1.9531e-10,0.0268408389484,0.00171335455546
89,PC9c1,linsitinib,2.5e-06,osimertinib,3.9063e-10,0.0242955473179,0.00580454703652
90,PC9c1,linsitinib,2.5e-06,osimertinib,7.8125e-10,0.0215493117333,0.00452775640439
91,PC9c1,linsitinib,2.5e-06,osimertinib,1.5625e-09,0.013634144171,0.00435509432214
92,PC9c1,linsitinib,2.5e-06,osimertinib,3.125e-09,0.00289501969399,0.00323082427281
93,PC9c1,linsitinib,2.5e-06,osimertinib,6.25e-09,-0.00895734649262,0.00247420593985
94,PC9c1,linsitinib,2.5e-06,osimertinib,2.5e-08,-0.00925067317868,0.00430312775963
95,PC9c1,linsitinib,2.5e-06,osimertinib,5e-08,-0.00919190118825,0.00423099654401
96,PC9c1,linsitinib,2.5e-06,osimertinib,1e-07,-0.00869362217946,0.00352050380046
97,PC9c1,linsitinib,2.5e-06,osimertinib,2e-07,-0.00861985782591,0.00260827623969
98,PC9c1,linsitinib,5e-06,osimertinib,0.0,0.00191193590778,0.00240083257722
99,PC9c1,linsitinib,5e-06,osimertinib,1.9531e-10,0.0269365740852,0.0064835091756
100,PC9c1,linsitinib,5e-06,osimertinib,3.9063e-10,0.0227668653165,0.00277488245434
101,PC9c1,linsitinib,5e-06,osimertinib,7.8125e-10,0.0196730623182,0.00328310694418
102,PC9c1,linsitinib,5e-06,osimertinib,1.5625e-09,0.0119662191247,0.00335407872123
103,PC9c1,linsitinib,5e-06,osimertinib,3.125e-09,0.00416949952616,0.00215654553517
104,PC9c1,linsitinib,5e-06,osimertinib,6.25e-09,-0.00750851501115,0.00209288457161
105,PC9c1,linsitinib,5e-06,osimertinib,2.5e-08,-0.00822805123787,0.00278382593508
106,PC9c1,linsitinib,5e-06,osimertinib,5e-08,-0.00946713155918,0.00327445279123
107,PC9c1,linsitinib,5e-06,osimertinib,1e-07,-0.00839490216647,0.00237610926367
108,PC9c1,linsitinib,5e-06,osimertinib,2e-07,-0.0119932465485,0.00677716042887
109,PC9c1,linsitinib,0.0,osimertinib,0.0,0.0374490173061,0.00406723504842
