,Unnamed: 0,cell.line,drug1,drug1.conc,drug2,drug2.conc,rate,rate.95ci
0,0,PC9c1,dasatinib,0.0,osimertinib,1.9531e-10,0.039684926495199994,0.00454785314801
1,1,PC9c1,dasatinib,0.0,osimertinib,3.9063e-10,0.0375881611711,0.00393509017842
2,2,PC9c1,dasatinib,0.0,osimertinib,7.8125e-10,0.0343109839629,0.00356880576379
3,3,PC9c1,dasatinib,0.0,osimertinib,1.5625e-09,0.0320431975496,0.006084717113399999
4,4,PC9c1,dasatinib,0.0,osimertinib,3.125e-09,0.0250131157361,0.004363505737770001
5,5,PC9c1,dasatinib,0.0,osimertinib,6.25e-09,0.0157449735094,0.004976435594729999
6,6,PC9c1,dasatinib,0.0,osimertinib,1.25e-08,0.00769962285707,0.0021397247201
7,7,PC9c1,dasatinib,0.0,osimertinib,2.5e-08,0.00722664698874,0.00818722303275
8,8,PC9c1,dasatinib,0.0,osimertinib,5e-08,-0.000829856469262,0.0013584120629900002
9,9,PC9c1,dasatinib,0.0,osimertinib,1e-07,-0.00162989921478,0.00351877992157
10,10,PC9c1,dasatinib,0.0,osimertinib,2e-07,0.0056577529858299995,0.00781945538956
11,11,PC9c1,dasatinib,3.90625e-09,osimertinib,0.0,0.0135936556175,0.00262952421435
12,12,PC9c1,dasatinib,3.90625e-09,osimertinib,1.9531e-10,0.0322861161915,0.00309601454648
13,13,PC9c1,dasatinib,3.90625e-09,osimertinib,3.9063e-10,0.0283185232141,0.0029441891147399995
14,14,PC9c1,dasatinib,3.90625e-09,osimertinib,7.8125e-10,0.0255539453995,0.0031875960639299998
15,15,PC9c1,dasatinib,3.90625e-09,osimertinib,1.5625e-09,0.0195365162202,0.00399201899249
16,16,PC9c1,dasatinib,3.90625e-09,osimertinib,3.125e-09,0.0125854001696,0.0037011071028699998
17,17,PC9c1,dasatinib,3.90625e-09,osimertinib,6.25e-09,0.0034952282909699994,0.0032820150202900003
18,18,PC9c1,dasatinib,3.90625e-09,osimertinib,1.25e-08,-0.0035941908942699998,0.00237790113402
19,19,PC9c1,dasatinib,3.90625e-09,osimertinib,2.5e-08,-0.004968559422390001,0.00311113241619
20,20,PC9c1,dasatinib,3.90625e-09,osimertinib,5e-08,-0.00515647482662,0.0020466583433499997
21,21,PC9c1,dasatinib,3.90625e-09,osimertinib,1e-07,-0.0052213406464700005,0.0024671628306
22,22,PC9c1,dasatinib,3.90625e-09,osimertinib,2e-07,-0.00438827546608,0.00390452360752
23,23,PC9c1,dasatinib,7.8125e-09,osimertinib,0.0,0.009742548965930001,0.00357469628529
24,24,PC9c1,dasatinib,7.8125e-09,osimertinib,1.9531e-10,0.028019889675500002,0.00335720563288
25,25,PC9c1,dasatinib,7.8125e-09,osimertinib,3.9063e-10,0.0246285204119,0.00323034592997
26,26,PC9c1,dasatinib,7.8125e-09,osimertinib,7.8125e-10,0.0200213556397,0.0038611605128100004
27,27,PC9c1,dasatinib,7.8125e-09,osimertinib,1.5625e-09,0.0142878277672,0.00365737900809
28,28,PC9c1,dasatinib,7.8125e-09,osimertinib,3.125e-09,0.006349225945409999,0.0034601926345999997
29,29,PC9c1,dasatinib,7.8125e-09,osimertinib,6.25e-09,-0.0080762146434,0.0036491468852700003
30,30,PC9c1,dasatinib,7.8125e-09,osimertinib,1.25e-08,-0.007777606918189999,0.00494245548567
31,31,PC9c1,dasatinib,7.8125e-09,osimertinib,2.5e-08,-0.011169127567799999,0.0048713523170100005
32,32,PC9c1,dasatinib,7.8125e-09,osimertinib,5e-08,-0.0104717678273,0.005155088065880001
33,33,PC9c1,dasatinib,7.8125e-09,osimertinib,1e-07,-0.009729893154420001,0.00540869587824
34,34,PC9c1,dasatinib,7.8125e-09,osimertinib,2e-07,-0.00797166303651,0.0036088385338099997
35,35,PC9c1,dasatinib,1.5625e-08,osimertinib,0.0,0.005286521119390001,0.0037698349768099998
36,36,PC9c1,dasatinib,1.5625e-08,osimertinib,1.9531e-10,0.021921900970900004,0.0037641419293800004
37,37,PC9c1,dasatinib,1.5625e-08,osimertinib,3.9063e-10,0.018844840201700002,0.00321896697964
38,38,PC9c1,dasatinib,1.5625e-08,osimertinib,7.8125e-10,0.0147709139291,0.0038395734731300002
39,39,PC9c1,dasatinib,1.5625e-08,osimertinib,1.5625e-09,0.00938583713976,0.00506520765755
40,40,PC9c1,dasatinib,1.5625e-08,osimertinib,3.125e-09,-0.00654117322544,0.00597213777383
