"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000228794",545.819583572708,0.424476812877774,0.0889762589554899,22.7756304039905,1.13327340427495e-05,2.96489976851817e-05,"LINC01128"
"ENSG00000188976",5603.97977619984,-0.373317645712004,0.045607779829442,85.0081005987574,3.47316564433081e-19,1.9484796784941e-18,"NOC2L"
"ENSG00000187961",638.148122569461,-0.355728189231639,0.0850048096853939,18.0964728948171,0.00011759824484382,0.000278845207093607,"KLHL17"
"ENSG00000187642",80.672710420464,1.4865958256718,0.238667359663306,67.6287539988725,2.06349138545015e-15,9.71569079017694e-15,"PERM1"
"ENSG00000188290",163.776614363725,0.698950916592926,0.158795688770351,24.7469455336465,4.22930548291258e-06,1.14652882230051e-05,"HES4"
"ENSG00000187608",158.442535258548,2.30444565957385,0.195620097521013,191.802777119779,2.24158979908414e-42,2.642240485783e-41,"ISG15"
"ENSG00000188157",6492.99763473451,-0.535179111297548,0.0578245673120523,101.720777137608,8.1585672386367e-23,5.33882023697241e-22,"AGRN"
"ENSG00000078808",8072.21508920652,0.0322886099401764,0.0386490503288296,18.4188779175861,0.000100090181957809,0.000238621526667947,"SDF4"
"ENSG00000176022",969.977404286706,-0.718997028507073,0.0811446135863522,154.569952960653,2.7262217642035e-34,2.57901450587261e-33,"B3GALT6"
"ENSG00000160087",1523.50444779568,-0.356187687473013,0.0685977015810747,27.0833146210603,1.31502180525359e-06,3.71556059550521e-06,"UBE2J2"
"ENSG00000131584",1364.38261733409,-0.433659525196233,0.0633206748663166,55.2619795518798,1.00003134047974e-12,4.12364839683188e-12,"ACAP3"
"ENSG00000127054",3133.80811089678,-0.211696256787517,0.0506721535343368,28.8972498773012,5.30935687610544e-07,1.54724412583772e-06,"CPSF3L"
"ENSG00000224051",2338.09894767588,0.650917093221425,0.0607737255036752,198.94139240604,6.31575868493325e-44,7.6542597190827e-43,"CPTP"
"ENSG00000107404",2307.37528287072,-0.259957561913588,0.0555569719150332,31.8147306847835,1.23457935468392e-07,3.75546314689804e-07,"DVL1"
"ENSG00000175756",4136.8286838387,0.174024156107155,0.0605065976457209,25.0402128168931,3.65247182061463e-06,9.9459681916852e-06,"AURKAIP1"
"ENSG00000221978",4574.14825866536,-0.189936340386447,0.050721161700059,22.1800752107486,1.52636311939179e-05,3.94620302270717e-05,"CCNL2"
"ENSG00000224870",839.108390380122,-0.307685830043283,0.0757245587072772,32.8179022790755,7.47623710376387e-08,2.31344039755507e-07,"LOC148413"
"ENSG00000179403",278.829576088366,0.478515993134202,0.117313859335764,18.2003184623285,0.000111648029228964,0.000265267737785621,"VWA1"
"ENSG00000197785",2630.01916292332,-0.121837522426249,0.050581169778852,28.5428746376193,6.33860258788092e-07,1.83633273748535e-06,"ATAD3A"
"ENSG00000228594",644.372991164739,-0.617925309966969,0.0940408028809779,46.4795863320774,8.07395021962423e-11,3.02281442183306e-10,"C1orf233"
"ENSG00000197530",695.060756048469,-0.782033403754241,0.0832013595394419,103.92985369297,2.70345420995996e-23,1.79540004757414e-22,"MIB2"
"ENSG00000248333",933.148206605908,-0.483638473476265,0.0737424247582635,44.9496087118989,1.73506794495785e-10,6.39080659651529e-10,"CDK11B"
"ENSG00000189339",837.093024977292,-0.350603154720097,0.0805333333841383,19.4181921161288,6.07285843996159e-05,0.000147863888916213,"SLC35E2B"
"ENSG00000215790",55.6489473028241,-1.05965746016346,0.263700498650089,16.5566308591723,0.000253964661243887,0.000580893850694005,"SLC35E2"
"ENSG00000008130",3278.02248673581,-0.27012664524287,0.0561124860381128,23.1680841888847,9.31353262553624e-06,2.45399091298917e-05,"NADK"
"ENSG00000078369",11078.6867892745,-0.173888431094499,0.0392218878294179,19.6460813932005,5.41885624551519e-05,0.000132677054386158,"GNB1"
"ENSG00000178821",9.82148116086366,3.32351365395338,0.839507678537158,18.8466529189409,8.08167380771574e-05,0.000194355961547271,"TMEM52"
"ENSG00000187730",18.4725765575693,3.9536567677512,0.627583390672559,58.2116404719378,2.28824688722912e-13,9.71837709919721e-13,"GABRD"
"ENSG00000162585",1798.91314638085,-0.415769101074557,0.0624286308834497,63.0558974378228,2.03041982700818e-14,9.12089711244193e-14,"FAAP20"
"ENSG00000157933",1754.02350660388,-0.86261102813929,0.0559958139862213,271.056646966058,1.38291972047611e-59,2.27307825444091e-58,"SKI"
"ENSG00000116151",449.83325323344,-0.55106682059786,0.0915849535197765,82.8477247360453,1.0229282072547e-18,5.60975156105456e-18,"MORN1"
"ENSG00000269896",124.263042665058,-1.06501843789855,0.176517361333105,56.7615849520499,4.72474566931796e-13,1.97824173442573e-12,"LOC100129534"
"ENSG00000157916",4937.08523699496,0.311062244793747,0.0478170501814132,43.0505634376276,4.48424082379745e-10,1.6100955105956e-09,"RER1"
"ENSG00000157873",10709.0020710848,-0.311320991769549,0.0448398150739015,91.0017776825077,1.73466275785116e-20,1.02901586003958e-19,"TNFRSF14"
"ENSG00000157870",1512.04005564585,-0.193770633748284,0.0608071608472253,56.0026278154611,6.90532118892414e-13,2.86841079713313e-12,"FAM213B"
"ENSG00000142606",31.0320577379617,1.85799522867155,0.37248404014971,27.3917267727202,1.12709910884553e-06,3.20486650736003e-06,"MMEL1"
"ENSG00000130762",167.694202461527,2.64316197750184,0.190329684183666,221.471200552964,8.09356482785319e-49,1.09030498526157e-47,"ARHGEF16"
"ENSG00000162591",146.740118892832,0.45150346294538,0.154104812197491,42.5499109357805,5.75975801217553e-10,2.05374679708018e-09,"MEGF6"
"ENSG00000158109",1328.07630416331,-0.345989892954006,0.0693096679076702,34.7691373178452,2.81823861453891e-08,8.99715265275446e-08,"TPRG1L"
