"","X","Date","Slice","Time","Count","cID","l2","nl2","CellLine","drug","conc"
"97",97,20140808,"WellR04-C03H2B_day12",98.33389992,154,6,7.266786541,0.266786541,"SKMEL5","PLX4720",8
"112",112,20140808,"WellR04-C03H2B_day6",0,137,7,7.098032083,0,"SKMEL5","PLX4720",8
"113",113,20140808,"WellR04-C03H2B_day7",2.022799992,142,7,7.14974712,0.051715037,"SKMEL5","PLX4720",8
"114",114,20140808,"WellR04-C03H2B_day8",19.0719,169,7,7.400879436,0.302847353,"SKMEL5","PLX4720",8
"115",115,20140808,"WellR04-C03H2B_day9",48.643000008,192,7,7.584962501,0.486930418,"SKMEL5","PLX4720",8
"116",116,20140808,"WellR04-C03H2B_day10",67.994200008,211,7,7.721099189,0.623067106,"SKMEL5","PLX4720",8
"117",117,20140808,"WellR04-C03H2B_day11",92.5305,304,7,8.247927513,1.14989543,"SKMEL5","PLX4720",8
"118",118,20140808,"WellR04-C03H2B_day12",98.33389992,334,7,8.383704292,1.28567221,"SKMEL5","PLX4720",8
"133",133,20140808,"WellR04-C03H2B_day6",0,84,9,6.392317423,0,"SKMEL5","PLX4720",8
"134",134,20140808,"WellR04-C03H2B_day7",2.022799992,82,9,6.357552005,-0.034765418,"SKMEL5","PLX4720",8
"135",135,20140808,"WellR04-C03H2B_day8",19.0719,104,9,6.700439718,0.308122295,"SKMEL5","PLX4720",8
"136",136,20140808,"WellR04-C03H2B_day9",48.643000008,121,9,6.918863237,0.526545814,"SKMEL5","PLX4720",8
"137",137,20140808,"WellR04-C03H2B_day10",67.994200008,127,9,6.988684687,0.596367264,"SKMEL5","PLX4720",8
"138",138,20140808,"WellR04-C03H2B_day11",92.5305,141,9,7.139551352,0.74723393,"SKMEL5","PLX4720",8
"139",139,20140808,"WellR04-C03H2B_day12",98.33389992,146,9,7.189824559,0.797507136,"SKMEL5","PLX4720",8
"154",154,20140808,"WellR04-C04H2B_day6",0,130,10,7.022367813,0,"SKMEL5","PLX4720",8
"155",155,20140808,"WellR04-C04H2B_day7",2.022799992,127,10,6.988684687,-0.033683126,"SKMEL5","PLX4720",8
"156",156,20140808,"WellR04-C04H2B_day8",19.0719,171,10,7.417852515,0.395484702,"SKMEL5","PLX4720",8
"157",157,20140808,"WellR04-C04H2B_day9",48.643000008,136,10,7.087462841,0.065095028,"SKMEL5","PLX4720",8
"158",158,20140808,"WellR04-C04H2B_day10",67.994200008,129,10,7.011227255,-0.011140558,"SKMEL5","PLX4720",8
"159",159,20140808,"WellR04-C04H2B_day11",92.5305,123,10,6.942514505,-0.079853308,"SKMEL5","PLX4720",8
"160",160,20140808,"WellR04-C04H2B_day12",98.33389992,130,10,7.022367813,0,"SKMEL5","PLX4720",8
"175",175,20140808,"WellR04-C04H2B_day6",0,200,11,7.64385619,0,"SKMEL5","PLX4720",8
"176",176,20140808,"WellR04-C04H2B_day7",2.022799992,196,11,7.614709844,-0.029146346,"SKMEL5","PLX4720",8
"177",177,20140808,"WellR04-C04H2B_day8",19.0719,238,11,7.894817763,0.250961574,"SKMEL5","PLX4720",8
"178",178,20140808,"WellR04-C04H2B_day9",48.643000008,165,11,7.366322214,-0.277533976,"SKMEL5","PLX4720",8
"179",179,20140808,"WellR04-C04H2B_day10",67.994200008,188,11,7.554588852,-0.089267338,"SKMEL5","PLX4720",8
"180",180,20140808,"WellR04-C04H2B_day11",92.5305,233,11,7.864186145,0.220329955,"SKMEL5","PLX4720",8
"181",181,20140808,"WellR04-C04H2B_day12",98.33389992,249,11,7.960001932,0.316145742,"SKMEL5","PLX4720",8
"196",196,20140808,"WellR04-C04H2B_day6",0,44,12,5.459431619,0,"SKMEL5","PLX4720",8
"197",197,20140808,"WellR04-C04H2B_day7",2.022799992,43,12,5.426264755,-0.033166864,"SKMEL5","PLX4720",8
"198",198,20140808,"WellR04-C04H2B_day8",19.0719,46,12,5.523561956,0.064130337,"SKMEL5","PLX4720",8
"199",199,20140808,"WellR04-C04H2B_day9",48.643000008,48,12,5.584962501,0.125530882,"SKMEL5","PLX4720",8
"200",200,20140808,"WellR04-C04H2B_day10",67.994200008,53,12,5.727920455,0.268488836,"SKMEL5","PLX4720",8
"201",201,20140808,"WellR04-C04H2B_day11",92.5305,48,12,5.584962501,0.125530882,"SKMEL5","PLX4720",8
"202",202,20140808,"WellR04-C04H2B_day12",98.33389992,56,12,5.807354922,0.347923303,"SKMEL5","PLX4720",8
"217",217,20140808,"WellR04-C04H2B_day6",0,73,13,6.189824559,0,"SKMEL5","PLX4720",8
"218",218,20140808,"WellR04-C04H2B_day7",2.022799992,68,13,6.087462841,-0.102361718,"SKMEL5","PLX4720",8
"219",219,20140808,"WellR04-C04H2B_day8",19.0719,89,13,6.475733431,0.285908872,"SKMEL5","PLX4720",8
"220",220,20140808,"WellR04-C04H2B_day9",48.643000008,91,13,6.50779464,0.317970081,"SKMEL5","PLX4720",8
"221",221,20140808,"WellR04-C04H2B_day10",67.994200008,87,13,6.442943496,0.253118937,"SKMEL5","PLX4720",8
"222",222,20140808,"WellR04-C04H2B_day11",92.5305,86,13,6.426264755,0.236440196,"SKMEL5","PLX4720",8
"223",223,20140808,"WellR04-C04H2B_day12",98.33389992,87,13,6.442943496,0.253118937,"SKMEL5","PLX4720",8
"238",238,20140808,"WellR04-C04H2B_day6",0,84,14,6.392317423,0,"SKMEL5","PLX4720",8
"239",239,20140808,"WellR04-C04H2B_day7",2.022799992,78,14,6.285402219,-0.106915204,"SKMEL5","PLX4720",8
"240",240,20140808,"WellR04-C04H2B_day8",19.0719,101,14,6.658211483,0.26589406,"SKMEL5","PLX4720",8
"241",241,20140808,"WellR04-C04H2B_day9",48.643000008,109,14,6.768184325,0.375866902,"SKMEL5","PLX4720",8
"242",242,20140808,"WellR04-C04H2B_day10",67.994200008,91,14,6.50779464,0.115477217,"SKMEL5","PLX4720",8
"243",243,20140808,"WellR04-C04H2B_day11",92.5305,97,14,6.599912842,0.207595419,"SKMEL5","PLX4720",8
"244",244,20140808,"WellR04-C04H2B_day12",98.33389992,88,14,6.459431619,0.067114196,"SKMEL5","PLX4720",8
"259",259,20140808,"WellR04-C04H2B_day6",0,126,15,6.977279923,0,"SKMEL5","PLX4720",8
"260",260,20140808,"WellR04-C04H2B_day7",2.022799992,119,15,6.894817763,-0.08246216,"SKMEL5","PLX4720",8
"261",261,20140808,"WellR04-C04H2B_day8",19.0719,139,15,7.118941073,0.141661149,"SKMEL5","PLX4720",8
"262",262,20140808,"WellR04-C04H2B_day9",48.643000008,107,15,6.741466986,-0.235812937,"SKMEL5","PLX4720",8
"263",263,20140808,"WellR04-C04H2B_day10",67.994200008,120,15,6.906890596,-0.070389328,"SKMEL5","PLX4720",8
"264",264,20140808,"WellR04-C04H2B_day11",92.5305,123,15,6.942514505,-0.034765418,"SKMEL5","PLX4720",8
"265",265,20140808,"WellR04-C04H2B_day12",98.33389992,129,15,7.011227255,0.033947332,"SKMEL5","PLX4720",8
"280",280,20140808,"WellR04-C04H2B_day6",0,115,16,6.845490051,0,"SKMEL5","PLX4720",8
"281",281,20140808,"WellR04-C04H2B_day7",2.022799992,121,16,6.918863237,0.073373186,"SKMEL5","PLX4720",8
"282",282,20140808,"WellR04-C04H2B_day8",19.0719,155,16,7.276124405,0.430634354,"SKMEL5","PLX4720",8
"283",283,20140808,"WellR04-C04H2B_day9",48.643000008,146,16,7.189824559,0.344334508,"SKMEL5","PLX4720",8
"284",284,20140808,"WellR04-C04H2B_day10",67.994200008,141,16,7.139551352,0.294061301,"SKMEL5","PLX4720",8
"285",285,20140808,"WellR04-C04H2B_day11",92.5305,152,16,7.247927513,0.402437462,"SKMEL5","PLX4720",8
"286",286,20140808,"WellR04-C04H2B_day12",98.33389992,161,16,7.330916878,0.485426827,"SKMEL5","PLX4720",8
"301",301,20140808,"WellR04-C04H2B_day6",0,104,17,6.700439718,0,"SKMEL5","PLX4720",8
"302",302,20140808,"WellR04-C04H2B_day7",2.022799992,81,17,6.339850003,-0.360589715,"SKMEL5","PLX4720",8
"303",303,20140808,"WellR04-C04H2B_day8",19.0719,119,17,6.894817763,0.194378045,"SKMEL5","PLX4720",8
"304",304,20140808,"WellR04-C04H2B_day9",48.643000008,107,17,6.741466986,0.041027268,"SKMEL5","PLX4720",8
"305",305,20140808,"WellR04-C04H2B_day10",67.994200008,91,17,6.50779464,-0.192645078,"SKMEL5","PLX4720",8
"306",306,20140808,"WellR04-C04H2B_day11",92.5305,96,17,6.584962501,-0.115477217,"SKMEL5","PLX4720",8
"307",307,20140808,"WellR04-C04H2B_day12",98.33389992,93,17,6.539158811,-0.161280907,"SKMEL5","PLX4720",8
"322",322,20140808,"WellR04-C05H2B_day6",0,92,18,6.523561956,0,"SKMEL5","PLX4720",8
"323",323,20140808,"WellR04-C05H2B_day7",2.022799992,88,18,6.459431619,-0.064130337,"SKMEL5","PLX4720",8
"324",324,20140808,"WellR04-C05H2B_day8",19.0719,99,18,6.62935662,0.105794664,"SKMEL5","PLX4720",8
"325",325,20140808,"WellR04-C05H2B_day9",48.643000008,88,18,6.459431619,-0.064130337,"SKMEL5","PLX4720",8
"326",326,20140808,"WellR04-C05H2B_day10",67.994200008,104,18,6.700439718,0.176877762,"SKMEL5","PLX4720",8
"327",327,20140808,"WellR04-C05H2B_day11",92.5305,102,18,6.672425342,0.148863386,"SKMEL5","PLX4720",8
"328",328,20140808,"WellR04-C05H2B_day12",98.33389992,105,18,6.714245518,0.190683562,"SKMEL5","PLX4720",8
"343",343,20140808,"WellR04-C05H2B_day6",0,101,19,6.658211483,0,"SKMEL5","PLX4720",8
"344",344,20140808,"WellR04-C05H2B_day7",2.022799992,95,19,6.569855608,-0.088355874,"SKMEL5","PLX4720",8
"345",345,20140808,"WellR04-C05H2B_day8",19.0719,124,19,6.95419631,0.295984828,"SKMEL5","PLX4720",8
"346",346,20140808,"WellR04-C05H2B_day9",48.643000008,103,19,6.686500527,0.028289044,"SKMEL5","PLX4720",8
"347",347,20140808,"WellR04-C05H2B_day10",67.994200008,90,19,6.491853096,-0.166358386,"SKMEL5","PLX4720",8
"348",348,20140808,"WellR04-C05H2B_day11",92.5305,99,19,6.62935662,-0.028854863,"SKMEL5","PLX4720",8
"349",349,20140808,"WellR04-C05H2B_day12",98.33389992,101,19,6.658211483,0,"SKMEL5","PLX4720",8
"364",364,20140808,"WellR04-C05H2B_day6",0,48,20,5.584962501,0,"SKMEL5","PLX4720",8
"365",365,20140808,"WellR04-C05H2B_day7",2.022799992,51,20,5.672425342,0.087462841,"SKMEL5","PLX4720",8
"366",366,20140808,"WellR04-C05H2B_day8",19.0719,59,20,5.882643049,0.297680549,"SKMEL5","PLX4720",8
"367",367,20140808,"WellR04-C05H2B_day9",48.643000008,70,20,6.129283017,0.544320516,"SKMEL5","PLX4720",8
"368",368,20140808,"WellR04-C05H2B_day10",67.994200008,67,20,6.06608919,0.48112669,"SKMEL5","PLX4720",8
"369",369,20140808,"WellR04-C05H2B_day11",92.5305,67,20,6.06608919,0.48112669,"SKMEL5","PLX4720",8
"370",370,20140808,"WellR04-C05H2B_day12",98.33389992,66,20,6.044394119,0.459431619,"SKMEL5","PLX4720",8
"385",385,20140808,"WellR04-C05H2B_day6",0,257,22,8.005624549,0,"SKMEL5","PLX4720",8
"386",386,20140808,"WellR04-C05H2B_day7",2.022799992,268,22,8.06608919,0.060464641,"SKMEL5","PLX4720",8
"387",387,20140808,"WellR04-C05H2B_day8",19.0719,296,22,8.209453366,0.203828816,"SKMEL5","PLX4720",8
"388",388,20140808,"WellR04-C05H2B_day9",48.643000008,277,22,8.113742166,0.108117617,"SKMEL5","PLX4720",8
"389",389,20140808,"WellR04-C05H2B_day10",67.994200008,258,22,8.011227255,0.005602706,"SKMEL5","PLX4720",8
"390",390,20140808,"WellR04-C05H2B_day11",92.5305,251,22,7.971543554,-0.034080995,"SKMEL5","PLX4720",8
"391",391,20140808,"WellR04-C05H2B_day12",98.33389992,240,22,7.906890596,-0.098733954,"SKMEL5","PLX4720",8
"406",406,20140808,"WellR04-C05H2B_day6",0,106,23,6.727920455,0,"SKMEL5","PLX4720",8
"407",407,20140808,"WellR04-C05H2B_day7",2.022799992,114,23,6.832890014,0.10496956,"SKMEL5","PLX4720",8
"408",408,20140808,"WellR04-C05H2B_day8",19.0719,138,23,7.108524457,0.380604002,"SKMEL5","PLX4720",8
"409",409,20140808,"WellR04-C05H2B_day9",48.643000008,119,23,6.894817763,0.166897309,"SKMEL5","PLX4720",8
"410",410,20140808,"WellR04-C05H2B_day10",67.994200008,136,23,7.087462841,0.359542387,"SKMEL5","PLX4720",8
"411",411,20140808,"WellR04-C05H2B_day11",92.5305,176,23,7.459431619,0.731511164,"SKMEL5","PLX4720",8
"412",412,20140808,"WellR04-C05H2B_day12",98.33389992,179,23,7.483815777,0.755895323,"SKMEL5","PLX4720",8
"427",427,20140808,"WellR04-C05H2B_day6",0,108,24,6.754887502,0,"SKMEL5","PLX4720",8
"428",428,20140808,"WellR04-C05H2B_day7",2.022799992,106,24,6.727920455,-0.026967048,"SKMEL5","PLX4720",8
"429",429,20140808,"WellR04-C05H2B_day8",19.0719,91,24,6.50779464,-0.247092862,"SKMEL5","PLX4720",8
"430",430,20140808,"WellR04-C05H2B_day9",48.643000008,65,24,6.022367813,-0.732519689,"SKMEL5","PLX4720",8
"431",431,20140808,"WellR04-C05H2B_day10",67.994200008,72,24,6.169925001,-0.584962501,"SKMEL5","PLX4720",8
"432",432,20140808,"WellR04-C05H2B_day11",92.5305,106,24,6.727920455,-0.026967048,"SKMEL5","PLX4720",8
"433",433,20140808,"WellR04-C05H2B_day12",98.33389992,108,24,6.754887502,0,"SKMEL5","PLX4720",8
"448",448,20140808,"WellR04-C05H2B_day6",0,51,25,5.672425342,0,"SKMEL5","PLX4720",8
"449",449,20140808,"WellR04-C05H2B_day7",2.022799992,58,25,5.857980995,0.185555653,"SKMEL5","PLX4720",8
"450",450,20140808,"WellR04-C05H2B_day8",19.0719,69,25,6.108524457,0.436099115,"SKMEL5","PLX4720",8
"451",451,20140808,"WellR04-C05H2B_day9",48.643000008,75,25,6.22881869,0.556393349,"SKMEL5","PLX4720",8
"452",452,20140808,"WellR04-C05H2B_day10",67.994200008,69,25,6.108524457,0.436099115,"SKMEL5","PLX4720",8
"453",453,20140808,"WellR04-C05H2B_day11",92.5305,58,25,5.857980995,0.185555653,"SKMEL5","PLX4720",8
"454",454,20140808,"WellR04-C05H2B_day12",98.33389992,62,25,5.95419631,0.281770968,"SKMEL5","PLX4720",8
"469",469,20140808,"WellR04-C06H2B_day6",0,76,26,6.247927513,0,"SKMEL5","PLX4720",8
"470",470,20140808,"WellR04-C06H2B_day7",2.022799992,75,26,6.22881869,-0.019108823,"SKMEL5","PLX4720",8
"471",471,20140808,"WellR04-C06H2B_day8",19.0719,87,26,6.442943496,0.195015982,"SKMEL5","PLX4720",8
"472",472,20140808,"WellR04-C06H2B_day9",48.643000008,65,26,6.022367813,-0.2255597,"SKMEL5","PLX4720",8
"473",473,20140808,"WellR04-C06H2B_day10",67.994200008,71,26,6.14974712,-0.098180394,"SKMEL5","PLX4720",8
"474",474,20140808,"WellR04-C06H2B_day11",92.5305,99,26,6.62935662,0.381429107,"SKMEL5","PLX4720",8
"475",475,20140808,"WellR04-C06H2B_day12",98.33389992,88,26,6.459431619,0.211504105,"SKMEL5","PLX4720",8
"490",490,20140808,"WellR04-C06H2B_day6",0,202,27,7.658211483,0,"SKMEL5","PLX4720",8
"491",491,20140808,"WellR04-C06H2B_day7",2.022799992,213,27,7.73470962,0.076498137,"SKMEL5","PLX4720",8
"492",492,20140808,"WellR04-C06H2B_day8",19.0719,287,27,8.164906927,0.506695444,"SKMEL5","PLX4720",8
"493",493,20140808,"WellR04-C06H2B_day9",48.643000008,252,27,7.977279923,0.319068441,"SKMEL5","PLX4720",8
"494",494,20140808,"WellR04-C06H2B_day10",67.994200008,237,27,7.888743249,0.230531766,"SKMEL5","PLX4720",8
"495",495,20140808,"WellR04-C06H2B_day11",92.5305,244,27,7.930737338,0.272525855,"SKMEL5","PLX4720",8
"496",496,20140808,"WellR04-C06H2B_day12",98.33389992,234,27,7.87036472,0.212153237,"SKMEL5","PLX4720",8
"511",511,20140808,"WellR04-C06H2B_day6",0,115,28,6.845490051,0,"SKMEL5","PLX4720",8
"512",512,20140808,"WellR04-C06H2B_day7",2.022799992,115,28,6.845490051,0,"SKMEL5","PLX4720",8
"513",513,20140808,"WellR04-C06H2B_day8",19.0719,169,28,7.400879436,0.555389385,"SKMEL5","PLX4720",8
"514",514,20140808,"WellR04-C06H2B_day9",48.643000008,189,28,7.562242424,0.716752373,"SKMEL5","PLX4720",8
"515",515,20140808,"WellR04-C06H2B_day10",67.994200008,186,28,7.539158811,0.69366876,"SKMEL5","PLX4720",8
"516",516,20140808,"WellR04-C06H2B_day11",92.5305,206,28,7.686500527,0.841010476,"SKMEL5","PLX4720",8
"517",517,20140808,"WellR04-C06H2B_day12",98.33389992,153,28,7.257387843,0.411897792,"SKMEL5","PLX4720",8
"532",532,20140808,"WellR04-C06H2B_day6",0,266,29,8.055282436,0,"SKMEL5","PLX4720",8
"533",533,20140808,"WellR04-C06H2B_day7",2.022799992,273,29,8.092757141,0.037474705,"SKMEL5","PLX4720",8
"534",534,20140808,"WellR04-C06H2B_day8",19.0719,378,29,8.562242424,0.506959989,"SKMEL5","PLX4720",8
"535",535,20140808,"WellR04-C06H2B_day9",48.643000008,445,29,8.797661526,0.74237909,"SKMEL5","PLX4720",8
"536",536,20140808,"WellR04-C06H2B_day10",67.994200008,454,29,8.826548487,0.771266052,"SKMEL5","PLX4720",8
"537",537,20140808,"WellR04-C06H2B_day11",92.5305,474,29,8.888743249,0.833460813,"SKMEL5","PLX4720",8
"538",538,20140808,"WellR04-C06H2B_day12",98.33389992,471,29,8.87958325,0.824300814,"SKMEL5","PLX4720",8
"553",553,20140808,"WellR04-C06H2B_day6",0,68,30,6.087462841,0,"SKMEL5","PLX4720",8
"554",554,20140808,"WellR04-C06H2B_day7",2.022799992,66,30,6.044394119,-0.043068722,"SKMEL5","PLX4720",8
"555",555,20140808,"WellR04-C06H2B_day8",19.0719,86,30,6.426264755,0.338801913,"SKMEL5","PLX4720",8
"556",556,20140808,"WellR04-C06H2B_day9",48.643000008,78,30,6.285402219,0.197939378,"SKMEL5","PLX4720",8
"557",557,20140808,"WellR04-C06H2B_day10",67.994200008,68,30,6.087462841,0,"SKMEL5","PLX4720",8
"558",558,20140808,"WellR04-C06H2B_day11",92.5305,72,30,6.169925001,0.08246216,"SKMEL5","PLX4720",8
"559",559,20140808,"WellR04-C06H2B_day12",98.33389992,74,30,6.209453366,0.121990524,"SKMEL5","PLX4720",8
"574",574,20140808,"WellR04-C06H2B_day6",0,80,31,6.321928095,0,"SKMEL5","PLX4720",8
"575",575,20140808,"WellR04-C06H2B_day7",2.022799992,84,31,6.392317423,0.070389328,"SKMEL5","PLX4720",8
"576",576,20140808,"WellR04-C06H2B_day8",19.0719,89,31,6.475733431,0.153805336,"SKMEL5","PLX4720",8
"577",577,20140808,"WellR04-C06H2B_day9",48.643000008,99,31,6.62935662,0.307428525,"SKMEL5","PLX4720",8
"578",578,20140808,"WellR04-C06H2B_day10",67.994200008,85,31,6.409390936,0.087462841,"SKMEL5","PLX4720",8
"579",579,20140808,"WellR04-C06H2B_day11",92.5305,100,31,6.64385619,0.321928095,"SKMEL5","PLX4720",8
"580",580,20140808,"WellR04-C06H2B_day12",98.33389992,102,31,6.672425342,0.350497247,"SKMEL5","PLX4720",8
"595",595,20140808,"WellR04-C07H2B_day6",0,83,32,6.375039431,0,"SKMEL5","PLX4720",8
"596",596,20140808,"WellR04-C07H2B_day7",2.022799992,82,32,6.357552005,-0.017487427,"SKMEL5","PLX4720",8
"597",597,20140808,"WellR04-C07H2B_day8",19.0719,111,32,6.794415866,0.419376435,"SKMEL5","PLX4720",8
"598",598,20140808,"WellR04-C07H2B_day9",48.643000008,122,32,6.930737338,0.555697906,"SKMEL5","PLX4720",8
"599",599,20140808,"WellR04-C07H2B_day10",67.994200008,138,32,7.108524457,0.733485025,"SKMEL5","PLX4720",8
"600",600,20140808,"WellR04-C07H2B_day11",92.5305,153,32,7.257387843,0.882348411,"SKMEL5","PLX4720",8
"601",601,20140808,"WellR04-C07H2B_day12",98.33389992,138,32,7.108524457,0.733485025,"SKMEL5","PLX4720",8
"616",616,20140808,"WellR04-C07H2B_day6",0,58,33,5.857980995,0,"SKMEL5","PLX4720",8
"617",617,20140808,"WellR04-C07H2B_day7",2.022799992,54,33,5.754887502,-0.103093493,"SKMEL5","PLX4720",8
"618",618,20140808,"WellR04-C07H2B_day8",19.0719,75,33,6.22881869,0.370837695,"SKMEL5","PLX4720",8
"619",619,20140808,"WellR04-C07H2B_day9",48.643000008,90,33,6.491853096,0.633872101,"SKMEL5","PLX4720",8
"620",620,20140808,"WellR04-C07H2B_day10",67.994200008,113,33,6.820178962,0.962197967,"SKMEL5","PLX4720",8
"621",621,20140808,"WellR04-C07H2B_day11",92.5305,123,33,6.942514505,1.08453351,"SKMEL5","PLX4720",8
"622",622,20140808,"WellR04-C07H2B_day12",98.33389992,119,33,6.894817763,1.036836768,"SKMEL5","PLX4720",8
"637",637,20140808,"WellR04-C07H2B_day6",0,111,34,6.794415866,0,"SKMEL5","PLX4720",8
"638",638,20140808,"WellR04-C07H2B_day7",2.022799992,119,34,6.894817763,0.100401897,"SKMEL5","PLX4720",8
"639",639,20140808,"WellR04-C07H2B_day8",19.0719,117,34,6.87036472,0.075948853,"SKMEL5","PLX4720",8
"640",640,20140808,"WellR04-C07H2B_day9",48.643000008,162,34,7.339850003,0.545434137,"SKMEL5","PLX4720",8
"641",641,20140808,"WellR04-C07H2B_day10",67.994200008,193,34,7.592457037,0.798041171,"SKMEL5","PLX4720",8
"642",642,20140808,"WellR04-C07H2B_day11",92.5305,225,34,7.813781191,1.019365325,"SKMEL5","PLX4720",8
"643",643,20140808,"WellR04-C07H2B_day12",98.33389992,221,34,7.787902559,0.993486693,"SKMEL5","PLX4720",8
"658",658,20140808,"WellR04-C07H2B_day6",0,164,35,7.357552005,0,"SKMEL5","PLX4720",8
"659",659,20140808,"WellR04-C07H2B_day7",2.022799992,169,35,7.400879436,0.043327432,"SKMEL5","PLX4720",8
"660",660,20140808,"WellR04-C07H2B_day8",19.0719,237,35,7.888743249,0.531191244,"SKMEL5","PLX4720",8
"661",661,20140808,"WellR04-C07H2B_day9",48.643000008,270,35,8.076815597,0.719263592,"SKMEL5","PLX4720",8
"662",662,20140808,"WellR04-C07H2B_day10",67.994200008,320,35,8.321928095,0.96437609,"SKMEL5","PLX4720",8
"663",663,20140808,"WellR04-C07H2B_day11",92.5305,396,35,8.62935662,1.271804615,"SKMEL5","PLX4720",8
"664",664,20140808,"WellR04-C07H2B_day12",98.33389992,389,35,8.603626345,1.24607434,"SKMEL5","PLX4720",8
"679",679,20140808,"WellR04-C08H2B_day6",0,173,36,7.434628228,0,"SKMEL5","PLX4720",8
"680",680,20140808,"WellR04-C08H2B_day7",2.022799992,173,36,7.434628228,0,"SKMEL5","PLX4720",8
"681",681,20140808,"WellR04-C08H2B_day8",19.0719,221,36,7.787902559,0.353274332,"SKMEL5","PLX4720",8
"682",682,20140808,"WellR04-C08H2B_day9",48.643000008,199,36,7.636624621,0.201996393,"SKMEL5","PLX4720",8
"683",683,20140808,"WellR04-C08H2B_day10",67.994200008,205,36,7.6794801,0.244851872,"SKMEL5","PLX4720",8
