"","X","Date","Slice","Time","Count","cID","l2","nl2","CellLine","drug","conc"
"7",7,20140808,"WellR04-C02H2B_day6",0,91,1,6.50779464,0,"SKMEL5","PLX4720",8
"8",8,20140808,"WellR04-C02H2B_day7",2.022799992,99,1,6.62935662,0.12156198,"SKMEL5","PLX4720",8
"9",9,20140808,"WellR04-C02H2B_day8",19.0719,113,1,6.820178962,0.312384322,"SKMEL5","PLX4720",8
"10",10,20140808,"WellR04-C02H2B_day9",48.643000008,91,1,6.50779464,0,"SKMEL5","PLX4720",8
"11",11,20140808,"WellR04-C02H2B_day10",67.994200008,92,1,6.523561956,0.015767316,"SKMEL5","PLX4720",8
"12",12,20140808,"WellR04-C02H2B_day11",92.5305,98,1,6.614709844,0.106915204,"SKMEL5","PLX4720",8
"13",13,20140808,"WellR04-C02H2B_day12",98.33389992,74,1,6.209453366,-0.298341275,"SKMEL5","PLX4720",8
"28",28,20140808,"WellR04-C02H2B_day6",0,46,3,5.523561956,0,"SKMEL5","PLX4720",8
"29",29,20140808,"WellR04-C02H2B_day7",2.022799992,37,3,5.209453366,-0.31410859,"SKMEL5","PLX4720",8
"30",30,20140808,"WellR04-C02H2B_day8",19.0719,31,3,4.95419631,-0.569365646,"SKMEL5","PLX4720",8
"31",31,20140808,"WellR04-C02H2B_day9",48.643000008,16,3,4,-1.523561956,"SKMEL5","PLX4720",8
"32",32,20140808,"WellR04-C02H2B_day10",67.994200008,15,3,3.906890596,-1.61667136,"SKMEL5","PLX4720",8
"33",33,20140808,"WellR04-C02H2B_day11",92.5305,7,3,2.807354922,-2.716207034,"SKMEL5","PLX4720",8
"34",34,20140808,"WellR04-C02H2B_day12",98.33389992,5,3,2.321928095,-3.201633861,"SKMEL5","PLX4720",8
"49",49,20140808,"WellR04-C03H2B_day6",0,52,4,5.700439718,0,"SKMEL5","PLX4720",8
"50",50,20140808,"WellR04-C03H2B_day7",2.022799992,50,4,5.64385619,-0.056583528,"SKMEL5","PLX4720",8
"51",51,20140808,"WellR04-C03H2B_day8",19.0719,55,4,5.781359714,0.080919995,"SKMEL5","PLX4720",8
"52",52,20140808,"WellR04-C03H2B_day9",48.643000008,52,4,5.700439718,0,"SKMEL5","PLX4720",8
"53",53,20140808,"WellR04-C03H2B_day10",67.994200008,48,4,5.584962501,-0.115477217,"SKMEL5","PLX4720",8
"54",54,20140808,"WellR04-C03H2B_day11",92.5305,49,4,5.614709844,-0.085729874,"SKMEL5","PLX4720",8
"55",55,20140808,"WellR04-C03H2B_day12",98.33389992,55,4,5.781359714,0.080919995,"SKMEL5","PLX4720",8
"70",70,20140808,"WellR04-C03H2B_day6",0,112,5,6.807354922,0,"SKMEL5","PLX4720",8
"71",71,20140808,"WellR04-C03H2B_day7",2.022799992,103,5,6.686500527,-0.120854395,"SKMEL5","PLX4720",8
"72",72,20140808,"WellR04-C03H2B_day8",19.0719,109,5,6.768184325,-0.039170597,"SKMEL5","PLX4720",8
"73",73,20140808,"WellR04-C03H2B_day9",48.643000008,69,5,6.108524457,-0.698830465,"SKMEL5","PLX4720",8
"74",74,20140808,"WellR04-C03H2B_day10",67.994200008,61,5,5.930737338,-0.876617584,"SKMEL5","PLX4720",8
"75",75,20140808,"WellR04-C03H2B_day11",92.5305,55,5,5.781359714,-1.025995209,"SKMEL5","PLX4720",8
"76",76,20140808,"WellR04-C03H2B_day12",98.33389992,46,5,5.523561956,-1.283792966,"SKMEL5","PLX4720",8
"91",91,20140808,"WellR04-C03H2B_day6",0,128,6,7,0,"SKMEL5","PLX4720",8
"92",92,20140808,"WellR04-C03H2B_day7",2.022799992,122,6,6.930737338,-0.069262662,"SKMEL5","PLX4720",8
"93",93,20140808,"WellR04-C03H2B_day8",19.0719,169,6,7.400879436,0.400879436,"SKMEL5","PLX4720",8
"94",94,20140808,"WellR04-C03H2B_day9",48.643000008,151,6,7.238404739,0.238404739,"SKMEL5","PLX4720",8
"95",95,20140808,"WellR04-C03H2B_day10",67.994200008,157,6,7.294620749,0.294620749,"SKMEL5","PLX4720",8
"96",96,20140808,"WellR04-C03H2B_day11",92.5305,160,6,7.321928095,0.321928095,"SKMEL5","PLX4720",8
