,Unnamed: 0,DIC_0,DIC_1,DIC_2,DIC_3,DIC_4,DIC_5,DelSurf,E0,E0_std,E1,E1_obs,E1_obs_std,E1_std,E2,E2_obs,E2_obs_std,E2_std,E3,E3_obs,E3_obs_std,E3_std,MCMC_BURN,MCMC_SAMPLE,MCMC_converge,R2,VBS,VBS_verr,alpha_lower,alpha_upper,beta_norm,beta_norm_std,beta_obs_norm,beta_obs_norm_std,cell_line,drug1_name,drug2_name,expt,h1,h1_std,h2,h2_std,log_C1,log_C1_std,log_C2,log_C2_std,log_alpha1,log_alpha1_std,log_alpha2,log_alpha2_std,log_c1_lower,log_c1_upper,log_c2_lower,log_c2_upper,log_gamma1,log_gamma1_std,log_gamma2,log_gamma2_std,log_like_mcmc,log_like_pso_finish,log_like_pso_start,max_conc_d1,max_conc_d2,memory_Mb,min_conc_d1,min_conc_d2,model_level,r1,r1_std,r2,r2_std,time
128,0,3632.37696131,3610.5029018,3586.60526245,4871.01559215,3562.18207667,3328.93911036,0.445401234452,0.0341883655709,0.000341584291489,0.0009317794461589999,0.014873902416000001,0.000330842828658,0.000238190839757,0.0042886278260199995,0.00428862784677,0.00020745127037300002,0.000207451270517,-0.039566451274,-0.00935489970276,0.0019804019575399997,0.00428489884388,100000,100000,1,0.8582242595139999,0.037855975065800004,3.89432089427e-09,-5.0,5.0,1.2177506905927011,0.13042017769014858,0.4563092718542229,0.0672035276684533,PC9C1,linsitinib,osimertinib,linsitinib_osimertinib_cellavista_cm_8-24-17.csv,0.151430192182,0.004764368947,6.0687535195099995,0.255112895592,-6.23580879044,0.08884406497510001,-8.20811138713,0.011044073489600001,0.31847841558400003,0.0120439099773,-3.21468317421,0.42985056805699995,-10.70927552,-3.30102999566,-12.70927552,-4.6989700043400005,1,0,1,0,"(1682.6477021456903,)",1822.61404519,21935.187179099998,5e-06,2e-07,563,1.9531e-08,1.9531e-10,5,3.4852444457,0.047703105011300005,3.4849541572600002,0.0475300966606,73.5651341836
129,0,1424.92161366,1304.27474351,1260.48553522,1130.8618831,1085.67742819,991.511023968,0.7571556771269999,0.0304681829543,0.00027768383283099994,-0.0115403336248,-0.011267771231200001,0.00014339738104700002,0.000142443245723,2.45065850504e-06,3.19409346776e-05,0.00012707015392799995,0.000127127014006,-0.0169928617851,-0.0169768965258,0.000122789808655,0.000122889406996,100000,100000,1,0.8690172450370001,0.0439191261858,3.60303987505e-11,-5.0,5.0,0.1297957796256184,0.0048958965964665535,0.1367915363627526,0.004973876738372765,PC9C1,dasatinib,osimertinib,dasatinib_osimertinib_cellavista_cm_8-24-17.csv,1.35071137113,0.0207845780253,2.0646078895900004,0.031934178242900006,-7.617698983819999,0.0114132926945,-8.15867196727,0.018545541841099997,0.713114531886,0.0275989328345,0.62695810718,0.023691993605800002,-11.4082399653,-4.0,-12.70927552,-4.6989700043400005,1,0,1,0,"(519.28268902524803,)",617.950360549,22868.462304599998,1e-06,2e-07,555,3.90625e-09,1.9531e-10,5,3.0468148882,0.0397693258331,3.0471829212199997,0.040070260928099996,78.0883188844
153,0,81325.3151393,73719.3916078,69144.3381024,66060.6662079,64694.2696341,63771.3641334,-0.42406983464299997,0.039945721557699994,4.46511279328e-06,0.00547337871404,0.007445515889,1.93063266564e-05,1.72001155635e-05,-0.0244745166241,-0.0226988279739,0.000206298916313,0.000207287482585,0.00149662593303,0.000489508310748,0.00010486175947199999,8.74587452894e-05,100000,100000,1,0.857473907262,-0.0541223416067,1.4537103486200002e-08,-7.0,7.0,-0.4031519176293168,0.00235207569789118,-0.3701572835630501,0.0026655023201257017,PC9C1,osimertinib,panobinostat,HTS018_rates.csv,0.795950102151,0.00133750455418,1.22202303014,0.00789232085623,-8.22789623521,0.0016872934289600002,-7.664296234119999,0.00384022362502,-0.154252146698,0.0288499802483,0.07608192094010001,0.029159110788500007,-12.698970004300001,-4.6989700043400005,-14.214670165,-4.39794000867,1,0,1,0,"(31782.131486696417,)",40820.26208440001,879021.715908,2e-07,4e-07,562,2e-10,6.0999999999999995e-12,5,3.9944848321300004,0.000622159625961,3.9944853040800004,0.000626653421381,98.6628142675
163,0,78619.6251659,72157.2685725,68891.552148,65536.300124,64390.4595079,63640.50688180001,0.445957032026,0.0399783582471,4.49467012893e-06,0.00563969163995,0.0075164325970100004,2.06301267615e-05,1.85528768919e-05,-0.0218783433743,-0.02187622761,2.32418486385e-05,2.32423056023e-05,-0.0008258790709149999,-0.0008806229659369998,5.86338905639e-05,5.86398919799e-05,100000,100000,1,0.670484250875,-0.18466834301100002,1.4321075035600001e-08,-7.0,7.0,-0.3403424972808713,0.0009801752049356449,-0.33943489157890805,0.0009801983002086614,PC9C1,osimertinib,carfilzomib,HTS018_rates.csv,0.8085292361759999,0.00146124038654,1.1647096779200001,0.006697465954739999,-8.23010813936,0.0017754344669100005,-9.23229007603,0.0013816091009700002,1.02597651576,0.0200667644371,1.6643977937,0.040304594646900005,-12.698970004300001,-4.6989700043400005,-13.214670165,-3.39794000867,1,0,1,0,"(31749.547601595608,)",40407.8230675,1907853.39507,2e-07,4e-06,586,2e-10,6.100000000000001e-11,5,3.997790187230002,0.000630054401622,3.99779047399,0.0006316323115369999,102.25093748200001
167,0,90512.8628129,84166.9935937,80200.9356283,77651.0989957,76469.90589089999,75666.19647869999,-0.3940191427220001,0.0399819654682,4.49616831001e-06,0.00570848564703,0.0076598434921200005,1.9942526315e-05,1.7695452144e-05,0.0254341203382,0.0317595630535,7.50850663587e-05,7.15714526682e-05,-0.0138035321851,0.00631160223079,0.00012421747911299999,0.000757891615421,100000,100000,1,0.704338344004,-0.005807604078920001,1.96931712389e-13,-7.0,7.0,0.5693036695993104,0.022128027658895304,0.04171264690875697,0.0038964896376079846,PC9C1,osimertinib,cabozantinib,HTS018_rates.csv,0.797325694148,0.00141543106489,0.156321584784,0.0022997262922800003,-8.22803517187,0.00175223377218,-6.126616096649999,0.0479492694706,-6.849155387969999,0.13010281110400002,-0.657364279949,0.033189549521499995,-12.698970004300001,-4.6989700043400005,-13.214670165,-3.39794000867,1,0,1,0,"(37740.727656832547,)",45222.93769190001,507028.737116,2e-07,4e-06,562,2e-10,6.100000000000001e-11,5,3.9981862190699995,0.000631661292104,3.9981838398400003,0.0006329946185930001,103.80093983399999
168,0,230857.580477,208050.97311,122597.666155,106500.869848,103593.214596,102171.943437,-0.496378269921,0.0399100086137,4.4099318075e-06,-0.00222435926704,0.00133302834799,1.54984348037e-05,1.17095578485e-05,-0.00441520592351,0.00175071169391,0.00044414297364199994,0.000320933213443,-0.00052128302291,-0.0006415889273749999,5.57756662336e-05,1.93106748613e-05,100000,100000,1,0.6869742300489999,1.51801075451e-05,4.02938840105e-09,-7.0,7.0,-0.08784893522243738,0.006618717083989321,0.05118641380855261,0.00150625503831428,PC9C1,osimertinib,mg132,HTS018_rates.csv,0.7744218643340001,0.000802150651976,3.18323933713,0.0589457677637,-8.035705300439997,0.0013387848683099998,-5.646618339959999,0.007660187553130002,0.36222953104,0.0106617487321,0.488680177488,0.20886353105500002,-12.698970004300001,-4.6989700043400005,-13.214670165,-3.39794000867,1,0,1,0,"(50902.044996193079,)",50009.493049699995,2405028.78987,2e-07,4e-06,566,2e-10,6.100000000000001e-11,5,3.9909853748,0.000609418075214,3.9909872527599997,0.000619157023985,105.253153098
175,0,21969.2405281,21913.967564500002,21844.6391376,21647.7423226,21556.2514763,21371.1146911,0.00577352200051,0.0390002305516,7.1746760002600004e-06,0.038657551014,0.0387359846225,6.40531111942e-05,8.03694404909e-05,0.005602003220149999,0.00571267280465,9.72346825975e-06,9.33778262206e-06,0.0007572717243939999,0.0008463514497649999,7.15715335588e-05,7.06199531477e-05,100000,100000,1,0.964835614736,0.00504576056746,2.57614666117e-14,-4.0,4.0,0.14505954006708244,0.0021388078801894282,0.14619039918393775,0.002176238411236675,PC9C1,gw770249x,osimertinib,HTS015_017_Combined.csv,1.12397580903,0.05302865444569999,1.1596199018,0.00512408237549,-5.4693215861199995,0.10046301453800001,-8.83609584151,0.0014890284436400005,0.32231479585,0.0239126092466,1.5231956547299998,0.108696029244,-10.386158178099999,-3.0,-11.698970004300001,-4.6989700043400005,1,0,1,0,"(10718.18173490733,)",10972.9005015,96923.02908810001,1e-05,2e-07,569,4.1100000000000004e-08,2e-09,5,3.90022585794,0.00102742498604,3.90022055813,0.00103671831662,93.9605155826
176,0,24206.7331426,24139.2021954,24088.019534,24038.4640215,23982.335988599996,23015.8079833,0.08237258761710001,0.039014334251,7.11261137009e-06,0.0087658998638,0.015103698627799996,0.000189903631866,0.000155755524611,0.0055250405193100005,0.00561000262746,9.3152117889e-06,9.06086384195e-06,-0.0548084066988,-0.0362816940764,0.0012018874407600001,0.0014067013887200002,100000,100000,1,0.9666265119299999,0.0023960096050799997,1.9532556145900002e-10,-5.0,5.0,1.8015741896944848,0.04201309149142205,1.2540797755204585,0.035986468666648494,PC9C1,m344,osimertinib,HTS015_017_Combined.csv,1.9760125006799998,0.0136275989102,1.22236368255,0.00539174227266,-6.28750505726,0.00601480461258,-8.82156047689,0.00134107647406,-0.90767071997,0.017247802405000002,-0.08749693202549999,0.0113916233957,-11.585026652,-3.9956786262199997,-11.698970004300001,-4.6989700043400005,1,0,1,0,"(11421.700069798613,)",11862.0602354,414624.083779,1.01e-06,2e-07,573,2.6e-09,2e-09,5,3.90143512676,0.000996704101437,3.901438582930002,0.0010092210156,91.09381993209999
178,0,77611.7950863,71665.32146889999,68083.5873214,65634.2608033,64570.237339499996,63959.3955421,-0.408973424984,0.039972343032699996,4.47429545328e-06,0.00598972349891,0.00787457498799,1.91688195799e-05,1.6898729525e-05,-0.00430719309127,-0.0018200183971800001,5.77083736049e-05,5.25378671125e-05,-0.017816755016,0.0019215843192500002,5.4903962084e-05,0.0017667438544300001,100000,100000,1,0.859722825169,-0.0440394032791,1.10273109957e-08,-7.0,7.0,0.3050971872629176,0.03992983153552917,-0.08952838720797651,0.0018183960731562305,PC9C1,osimertinib,tanespimycin,HTS018_rates.csv,0.8022528396359999,0.00142182971251,0.513672491118,0.0018947791067199999,-8.23364540395,0.0017362411969300002,-7.78348847007,0.0059661737513000005,-6.61139830372,0.304132050586,-5.44003364113,0.9634605145299999,-12.698970004300001,-4.6989700043400005,-13.214670165,-3.39794000867,1,0,1,0,"(31919.401695687095,)",38823.6750544,525292.446057,2e-07,4e-06,586,2e-10,6.100000000000001e-11,5,3.99718340083,0.000629945560543,3.99717744518,0.000630326080619,108.136298664
181,0,69165.75486649999,69115.5280513,68974.90366789997,68556.0030745,68507.92690830001,67419.4411235,-0.23997810407099998,0.038887206633,7.10796657662e-06,-0.015083020017299999,-0.0073101479570400005,0.0007068989067760001,0.000249930332658,0.00564940006516,0.00569807694725,8.871588670019999e-06,8.69721824568e-06,0.010165256718299999,0.006560114871689999,0.00017750196342299998,4.44772551461e-05,100000,100000,1,0.9293230993260001,-1.8406294642800002e-18,4.18998065054e-18,-4.0,4.0,-0.4678186159786982,0.002599343286426352,-0.3002393308408266,0.011376136220727182,PC9C1,harringtonine,osimertinib,HTS015_017_Combined.csv,10.1476072888,0.354886183807,1.32180708999,0.00750243887275,-5.07627764514,0.0034155687487199995,-8.84275719769,0.0014269592026800002,3.1979597589499997,0.49871456732,-0.13903758314200002,0.0105330449164,-10.386158178099999,-3.0,-11.698970004300001,-4.6989700043400005,1,0,1,0,"(33732.636281631581,)",33532.2350703,347361.233417,1e-05,2e-07,576,4.1100000000000004e-08,2e-09,5,3.88871738583,0.0010089847195,3.88871898039,0.00100105335328,97.8485689521
