well,row,col,cell.line,drug1.units,drug2.units,drug1,drug2,drug1.conc,drug2.conc,upid,expt.date,rate,rate.95ci
B02,B,2,A2058,M,M,plx4720,control,0.0,0.0,0,03_27_18,0.0495887202074,0.00190786855397
B03,B,3,A2058,M,M,plx4720,dpi,1.6e-05,1e-06,0,03_27_18,0.00257474195913,0.00231749946152
B04,B,4,A2058,M,M,plx4720,dpi,1.6e-05,2.5e-07,0,03_27_18,0.0180327424724,0.00253957932163
B05,B,5,A2058,M,M,plx4720,dpi,1.6e-05,6.3e-08,0,03_27_18,0.0171918115759,0.0026618662288
B06,B,6,A2058,M,M,plx4720,dpi,1.6e-05,1.6e-08,0,03_27_18,0.0256071286362,0.00226217749143
B07,B,7,A2058,M,M,plx4720,dpi,1.6e-05,3.9e-09,0,03_27_18,0.0285276064518,0.00219340975911
B08,B,8,A2058,M,M,plx4720,dpi,1.6e-05,9.8e-10,0,03_27_18,0.0323765411349,0.00202323315974
B09,B,9,A2058,M,M,plx4720,dpi,1.6e-05,2.4e-10,0,03_27_18,0.0300123785422,0.000576465217485
B10,B,10,A2058,M,M,plx4720,dpi,1.6e-05,6.1e-11,0,03_27_18,0.0252323852776,0.00115653502215
B11,B,11,A2058,M,M,plx4720,dpi,1.6e-05,1.5e-11,0,03_27_18,0.0253692630981,0.0010314065032
B12,B,12,A2058,M,M,plx4720,dpi,1.6e-05,3.8e-12,0,03_27_18,0.0285960171284,0.00116527879476
B13,B,13,A2058,M,M,plx4720,control,1.6e-05,0.0,0,03_27_18,0.0302026888274,0.000547316080519
B14,B,14,A2058,M,M,plx4720,dpi,1.6e-05,1e-06,0,03_27_18,0.00661976386001,0.00199682842178
B15,B,15,A2058,M,M,plx4720,dpi,1.6e-05,2.5e-07,0,03_27_18,0.0180158104161,0.00387618523739
B16,B,16,A2058,M,M,plx4720,dpi,1.6e-05,6.3e-08,0,03_27_18,0.0245869608932,0.00167645732902
B17,B,17,A2058,M,M,plx4720,dpi,1.6e-05,1.6e-08,0,03_27_18,0.0253864614232,0.00117882059402
B18,B,18,A2058,M,M,plx4720,dpi,1.6e-05,3.9e-09,0,03_27_18,0.0261828953041,0.00115837888906
B19,B,19,A2058,M,M,plx4720,dpi,1.6e-05,9.8e-10,0,03_27_18,0.0276233506764,0.00103245333728
B20,B,20,A2058,M,M,plx4720,dpi,1.6e-05,2.4e-10,0,03_27_18,0.0296850809711,0.000873734902019
