well,row,col,cell.line,drug1.units,drug2.units,drug1,drug2,drug1.conc,drug2.conc,upid,expt.date,rate,rate.95ci
B21,B,21,A2058,M,M,plx4720,dpi,1.6e-05,6.1e-11,0,03_27_18,0.0234787362378,0.000875764631808
B22,B,22,A2058,M,M,plx4720,dpi,1.6e-05,1.5e-11,0,03_27_18,0.0256919597063,0.000671453713014
B23,B,23,A2058,M,M,plx4720,dpi,1.6e-05,3.8e-12,0,03_27_18,0.0273854465866,0.000872618994016
C02,C,2,A2058,M,M,plx4720,control,0.0,0.0,0,03_27_18,0.052859988564,0.00110353922247
C03,C,3,A2058,M,M,plx4720,dpi,4e-06,1e-06,0,03_27_18,0.0135334405205,0.00361971805611
C04,C,4,A2058,M,M,plx4720,dpi,4e-06,2.5e-07,0,03_27_18,0.0322893715077,0.00226063227038
C05,C,5,A2058,M,M,plx4720,dpi,4e-06,6.3e-08,0,03_27_18,0.0349652990944,0.00190202111745
C06,C,6,A2058,M,M,plx4720,dpi,4e-06,1.6e-08,0,03_27_18,0.0385683588719,0.0023708120863
C07,C,7,A2058,M,M,plx4720,dpi,4e-06,3.9e-09,0,03_27_18,0.0311018758071,0.000586414046659
C08,C,8,A2058,M,M,plx4720,dpi,4e-06,9.8e-10,0,03_27_18,0.0395315976902,0.000523024351379
C09,C,9,A2058,M,M,plx4720,dpi,4e-06,2.4e-10,0,03_27_18,0.0410189930446,0.000352966505654
C10,C,10,A2058,M,M,plx4720,dpi,4e-06,6.1e-11,0,03_27_18,0.0346307583884,0.0014217905515
C11,C,11,A2058,M,M,plx4720,dpi,4e-06,1.5e-11,0,03_27_18,0.0378065261102,0.00191024457055
C12,C,12,A2058,M,M,plx4720,dpi,4e-06,3.8e-12,0,03_27_18,0.0323059936048,0.00144533988455
C13,C,13,A2058,M,M,plx4720,control,4e-06,0.0,0,03_27_18,0.0324913958586,0.000867960688014
C14,C,14,A2058,M,M,plx4720,dpi,4e-06,1e-06,0,03_27_18,0.0149961914577,0.00361469719439
C15,C,15,A2058,M,M,plx4720,dpi,4e-06,2.5e-07,0,03_27_18,0.0300516846336,0.00246024734095
C16,C,16,A2058,M,M,plx4720,dpi,4e-06,6.3e-08,0,03_27_18,0.0350848816894,0.00169467863094
C17,C,17,A2058,M,M,plx4720,dpi,4e-06,1.6e-08,0,03_27_18,0.0346589913969,0.000635525123861
C18,C,18,A2058,M,M,plx4720,dpi,4e-06,3.9e-09,0,03_27_18,0.035008082888,0.000663863703078
C19,C,19,A2058,M,M,plx4720,dpi,4e-06,9.8e-10,0,03_27_18,0.0357954667173,0.00175732192756
C20,C,20,A2058,M,M,plx4720,dpi,4e-06,2.4e-10,0,03_27_18,0.0328253040763,0.00154970550772
C21,C,21,A2058,M,M,plx4720,dpi,4e-06,6.1e-11,0,03_27_18,0.0359828642877,0.000946790028159
C22,C,22,A2058,M,M,plx4720,dpi,4e-06,1.5e-11,0,03_27_18,0.0364371704219,0.000369239095782
C23,C,23,A2058,M,M,plx4720,dpi,4e-06,3.8e-12,0,03_27_18,0.0371692881766,0.00154424947762
D02,D,2,A2058,M,M,plx4720,control,0.0,0.0,0,03_27_18,0.0473091605511,0.00161383690209
D03,D,3,A2058,M,M,plx4720,dpi,1e-06,1e-06,0,03_27_18,0.0149022405483,0.00291768424957
D04,D,4,A2058,M,M,plx4720,dpi,1e-06,2.5e-07,0,03_27_18,0.0283617035974,0.00292201628552
D05,D,5,A2058,M,M,plx4720,dpi,1e-06,6.3e-08,0,03_27_18,0.039534691714,0.0023340783805
D06,D,6,A2058,M,M,plx4720,dpi,1e-06,1.6e-08,0,03_27_18,0.0401973866164,0.00094032913113
D07,D,7,A2058,M,M,plx4720,dpi,1e-06,3.9e-09,0,03_27_18,0.040624716088,0.000371423223485
D08,D,8,A2058,M,M,plx4720,dpi,1e-06,9.8e-10,0,03_27_18,0.0371071528017,0.000596801848849
D09,D,9,A2058,M,M,plx4720,dpi,1e-06,2.4e-10,0,03_27_18,0.0351712625513,0.00117595386604
D10,D,10,A2058,M,M,plx4720,dpi,1e-06,6.1e-11,0,03_27_18,0.0313687447919,0.00114146855437
D11,D,11,A2058,M,M,plx4720,dpi,1e-06,1.5e-11,0,03_27_18,0.0413557241108,0.000861367337382
D12,D,12,A2058,M,M,plx4720,dpi,1e-06,3.8e-12,0,03_27_18,0.0317311744747,0.00103829456052
D13,D,13,A2058,M,M,plx4720,control,1e-06,0.0,0,03_27_18,0.0398508270277,0.000627378192445
D14,D,14,A2058,M,M,plx4720,dpi,1e-06,1e-06,0,03_27_18,0.0123692136309,0.0022559181909
D15,D,15,A2058,M,M,plx4720,dpi,1e-06,2.5e-07,0,03_27_18,0.0320302476021,0.00116777498156
D16,D,16,A2058,M,M,plx4720,dpi,1e-06,6.3e-08,0,03_27_18,0.0386899079631,0.000483347824077
D17,D,17,A2058,M,M,plx4720,dpi,1e-06,1.6e-08,0,03_27_18,0.0403491693295,0.000607767175144
D18,D,18,A2058,M,M,plx4720,dpi,1e-06,3.9e-09,0,03_27_18,0.0290858656264,0.0013988767722
D19,D,19,A2058,M,M,plx4720,dpi,1e-06,9.8e-10,0,03_27_18,0.0354858731515,0.000967751004361
D20,D,20,A2058,M,M,plx4720,dpi,1e-06,2.4e-10,0,03_27_18,0.0326738855581,0.00131187460111
D21,D,21,A2058,M,M,plx4720,dpi,1e-06,6.1e-11,0,03_27_18,0.0335940101782,0.00135774130152
D22,D,22,A2058,M,M,plx4720,dpi,1e-06,1.5e-11,0,03_27_18,0.0352865091788,0.000711076286112
D23,D,23,A2058,M,M,plx4720,dpi,1e-06,3.8e-12,0,03_27_18,0.0350538207742,0.00105792355486
E02,E,2,A2058,M,M,plx4720,control,0.0,0.0,0,03_27_18,0.0464604774575,0.00061654213075
E03,E,3,A2058,M,M,plx4720,dpi,2.5e-07,1e-06,0,03_27_18,0.0118791621427,0.00273537801909
E04,E,4,A2058,M,M,plx4720,dpi,2.5e-07,2.5e-07,0,03_27_18,0.0225493290979,0.00319415930103
E05,E,5,A2058,M,M,plx4720,dpi,2.5e-07,6.3e-08,0,03_27_18,0.0381935206449,0.00282545527147
E06,E,6,A2058,M,M,plx4720,dpi,2.5e-07,1.6e-08,0,03_27_18,0.0426060254091,0.0014133907743
E07,E,7,A2058,M,M,plx4720,dpi,2.5e-07,3.9e-09,0,03_27_18,0.0362658918578,0.000537771364648
E08,E,8,A2058,M,M,plx4720,dpi,2.5e-07,9.8e-10,0,03_27_18,0.0320302164856,0.00119748271527
E09,E,9,A2058,M,M,plx4720,dpi,2.5e-07,2.4e-10,0,03_27_18,0.0432204973483,0.000434058857982
E10,E,10,A2058,M,M,plx4720,dpi,2.5e-07,6.1e-11,0,03_27_18,0.0342665652682,0.00208845383597
E11,E,11,A2058,M,M,plx4720,dpi,2.5e-07,1.5e-11,0,03_27_18,0.0354601704716,0.00128019073568
E12,E,12,A2058,M,M,plx4720,dpi,2.5e-07,3.8e-12,0,03_27_18,0.0421148490894,0.000562836342547
E13,E,13,A2058,M,M,plx4720,control,2.5e-07,0.0,0,03_27_18,0.036207322544,0.00140037413676
E14,E,14,A2058,M,M,plx4720,dpi,2.5e-07,1e-06,0,03_27_18,0.0113143077918,0.00380014230517
E15,E,15,A2058,M,M,plx4720,dpi,2.5e-07,2.5e-07,0,03_27_18,0.0316127133441,0.00196118234769
E16,E,16,A2058,M,M,plx4720,dpi,2.5e-07,6.3e-08,0,03_27_18,0.0292550936526,0.00123428250741
E17,E,17,A2058,M,M,plx4720,dpi,2.5e-07,1.6e-08,0,03_27_18,0.0461495808255,0.00048911502745
E18,E,18,A2058,M,M,plx4720,dpi,2.5e-07,3.9e-09,0,03_27_18,0.0467895863824,0.00224725783631
E19,E,19,A2058,M,M,plx4720,dpi,2.5e-07,9.8e-10,0,03_27_18,0.0360454731034,0.000386762995394
E20,E,20,A2058,M,M,plx4720,dpi,2.5e-07,2.4e-10,0,03_27_18,0.0401534980667,0.000917728627476
E21,E,21,A2058,M,M,plx4720,dpi,2.5e-07,6.1e-11,0,03_27_18,0.0456030128449,0.000869729525934
E22,E,22,A2058,M,M,plx4720,dpi,2.5e-07,1.5e-11,0,03_27_18,0.040510233543,0.000980511965431
E23,E,23,A2058,M,M,plx4720,dpi,2.5e-07,3.8e-12,0,03_27_18,0.0443948261111,0.000788458239585
F02,F,2,A2058,M,M,plx4720,control,0.0,0.0,0,03_27_18,0.0503134136934,0.00111494099369
F03,F,3,A2058,M,M,plx4720,dpi,6.3e-08,1e-06,0,03_27_18,0.011944607772,0.00303805143649
F04,F,4,A2058,M,M,plx4720,dpi,6.3e-08,2.5e-07,0,03_27_18,0.0366687411942,0.00270996582025
F05,F,5,A2058,M,M,plx4720,dpi,6.3e-08,6.3e-08,0,03_27_18,0.038716664985,0.00119878192755
F06,F,6,A2058,M,M,plx4720,dpi,6.3e-08,1.6e-08,0,03_27_18,0.0393153643504,0.00267426821221
F07,F,7,A2058,M,M,plx4720,dpi,6.3e-08,3.9e-09,0,03_27_18,0.0383849156531,0.000643015836966
F08,F,8,A2058,M,M,plx4720,dpi,6.3e-08,9.8e-10,0,03_27_18,0.0376390472488,0.000901973235881
F09,F,9,A2058,M,M,plx4720,dpi,6.3e-08,2.4e-10,0,03_27_18,0.0378433003154,0.000907689516658
F10,F,10,A2058,M,M,plx4720,dpi,6.3e-08,6.1e-11,0,03_27_18,0.0381148276624,0.000420151960647
F11,F,11,A2058,M,M,plx4720,dpi,6.3e-08,1.5e-11,0,03_27_18,0.0403777464036,0.000540057805959
F12,F,12,A2058,M,M,plx4720,dpi,6.3e-08,3.8e-12,0,03_27_18,0.0420393280482,0.00144797346199
F13,F,13,A2058,M,M,plx4720,control,6.3e-08,0.0,0,03_27_18,0.0374484249434,0.000319141632412
F14,F,14,A2058,M,M,plx4720,dpi,6.3e-08,1e-06,0,03_27_18,0.00662431666131,0.000693455693427
F15,F,15,A2058,M,M,plx4720,dpi,6.3e-08,2.5e-07,0,03_27_18,0.0264800495686,0.00285944799469
F16,F,16,A2058,M,M,plx4720,dpi,6.3e-08,6.3e-08,0,03_27_18,0.0418912131204,0.00138073617226
F17,F,17,A2058,M,M,plx4720,dpi,6.3e-08,1.6e-08,0,03_27_18,0.0478897708615,0.00146288772908
F18,F,18,A2058,M,M,plx4720,dpi,6.3e-08,3.9e-09,0,03_27_18,0.0311579763436,0.000424836783216
F19,F,19,A2058,M,M,plx4720,dpi,6.3e-08,9.8e-10,0,03_27_18,0.0342622198944,0.00161799971832
F20,F,20,A2058,M,M,plx4720,dpi,6.3e-08,2.4e-10,0,03_27_18,0.0358251373467,0.00150585555806
F21,F,21,A2058,M,M,plx4720,dpi,6.3e-08,6.1e-11,0,03_27_18,0.0428799479663,0.00183408675433
F22,F,22,A2058,M,M,plx4720,dpi,6.3e-08,1.5e-11,0,03_27_18,0.0428459679727,0.000750979518635
F23,F,23,A2058,M,M,plx4720,dpi,6.3e-08,3.8e-12,0,03_27_18,0.0476511597576,0.000113041960156
G02,G,2,A2058,M,M,plx4720,control,0.0,0.0,0,03_27_18,0.0458446794982,0.000851122643459
G03,G,3,A2058,M,M,plx4720,dpi,1.6e-08,1e-06,0,03_27_18,0.0132363074791,0.00365981548995
G04,G,4,A2058,M,M,plx4720,dpi,1.6e-08,2.5e-07,0,03_27_18,0.0209622011614,0.00342458051006
G05,G,5,A2058,M,M,plx4720,dpi,1.6e-08,6.3e-08,0,03_27_18,0.0314771558692,0.00218795041427
G06,G,6,A2058,M,M,plx4720,dpi,1.6e-08,1.6e-08,0,03_27_18,0.0399976726731,0.00168851384848
G07,G,7,A2058,M,M,plx4720,dpi,1.6e-08,3.9e-09,0,03_27_18,0.030673747356,0.000289864540645
G08,G,8,A2058,M,M,plx4720,dpi,1.6e-08,9.8e-10,0,03_27_18,0.0344081219263,0.000581658768927
G09,G,9,A2058,M,M,plx4720,dpi,1.6e-08,2.4e-10,0,03_27_18,0.0422196718051,0.00071618718736
G10,G,10,A2058,M,M,plx4720,dpi,1.6e-08,6.1e-11,0,03_27_18,0.0406595270587,0.0015222801957
G11,G,11,A2058,M,M,plx4720,dpi,1.6e-08,1.5e-11,0,03_27_18,0.0432429381489,0.00085099624898
G12,G,12,A2058,M,M,plx4720,dpi,1.6e-08,3.8e-12,0,03_27_18,0.0332550346896,0.00126269492941
G13,G,13,A2058,M,M,plx4720,control,1.6e-08,0.0,0,03_27_18,0.0401135492226,0.00143148104928
G14,G,14,A2058,M,M,plx4720,dpi,1.6e-08,1e-06,0,03_27_18,0.0100945605068,0.00443986009831
G15,G,15,A2058,M,M,plx4720,dpi,1.6e-08,2.5e-07,0,03_27_18,0.0256470691119,0.00260929353679
G16,G,16,A2058,M,M,plx4720,dpi,1.6e-08,6.3e-08,0,03_27_18,0.0372677557867,0.00114663038384
G17,G,17,A2058,M,M,plx4720,dpi,1.6e-08,1.6e-08,0,03_27_18,0.0420155811107,0.000553105261635
G18,G,18,A2058,M,M,plx4720,dpi,1.6e-08,3.9e-09,0,03_27_18,0.0477121794693,0.000941066478397
G19,G,19,A2058,M,M,plx4720,dpi,1.6e-08,9.8e-10,0,03_27_18,0.0362433558049,0.000869279484688
G20,G,20,A2058,M,M,plx4720,dpi,1.6e-08,2.4e-10,0,03_27_18,0.0421803436798,0.00099273205629
G21,G,21,A2058,M,M,plx4720,dpi,1.6e-08,6.1e-11,0,03_27_18,0.043085456735,0.000967213838652
G22,G,22,A2058,M,M,plx4720,dpi,1.6e-08,1.5e-11,0,03_27_18,0.0447543289638,0.00144586041645
G23,G,23,A2058,M,M,plx4720,dpi,1.6e-08,3.8e-12,0,03_27_18,0.0426745040925,0.000441029649338
H02,H,2,A2058,M,M,plx4720,control,0.0,0.0,0,03_27_18,0.0505369514447,0.000558409411864
H03,H,3,A2058,M,M,plx4720,dpi,0.0,1e-06,0,03_27_18,0.020033024614,0.0037302850582
H04,H,4,A2058,M,M,plx4720,dpi,0.0,2.5e-07,0,03_27_18,0.0347831703711,0.00207486553965
H05,H,5,A2058,M,M,plx4720,dpi,0.0,6.3e-08,0,03_27_18,0.0497273871419,0.000736247922376
H06,H,6,A2058,M,M,plx4720,dpi,0.0,1.6e-08,0,03_27_18,0.0447678347106,0.000400549460702
H07,H,7,A2058,M,M,plx4720,dpi,0.0,3.9e-09,0,03_27_18,0.046370062814,0.000825923866063
H08,H,8,A2058,M,M,plx4720,dpi,0.0,9.8e-10,0,03_27_18,0.0470091578004,0.000316597303979
H09,H,9,A2058,M,M,plx4720,dpi,0.0,2.4e-10,0,03_27_18,0.0480989469225,0.000238021035665
H10,H,10,A2058,M,M,plx4720,dpi,0.0,6.1e-11,0,03_27_18,0.0435739626565,0.000895989951165
H11,H,11,A2058,M,M,plx4720,dpi,0.0,1.5e-11,0,03_27_18,0.0510027878363,0.000880587146912
H12,H,12,A2058,M,M,plx4720,dpi,0.0,3.8e-12,0,03_27_18,0.046878103607,0.0011863106949
H13,H,13,A2058,M,M,plx4720,control,0.0,0.0,0,03_27_18,0.0467009120603,0.000291004012274
H14,H,14,A2058,M,M,plx4720,dpi,0.0,1e-06,0,03_27_18,0.0201515642972,0.00325433104952
H15,H,15,A2058,M,M,plx4720,dpi,0.0,2.5e-07,0,03_27_18,0.0318309853897,0.0018856573767
H16,H,16,A2058,M,M,plx4720,dpi,0.0,6.3e-08,0,03_27_18,0.042136093027,0.000250151308004
H17,H,17,A2058,M,M,plx4720,dpi,0.0,1.6e-08,0,03_27_18,0.0489991925765,0.00121740640683
H18,H,18,A2058,M,M,plx4720,dpi,0.0,3.9e-09,0,03_27_18,0.0467798640899,0.000704926337547
H19,H,19,A2058,M,M,plx4720,dpi,0.0,9.8e-10,0,03_27_18,0.0475467233919,0.000537677817777
H20,H,20,A2058,M,M,plx4720,dpi,0.0,2.4e-10,0,03_27_18,0.0440438295643,0.000281515306134
H21,H,21,A2058,M,M,plx4720,dpi,0.0,6.1e-11,0,03_27_18,0.042431247087,0.000184838857551
H22,H,22,A2058,M,M,plx4720,dpi,0.0,1.5e-11,0,03_27_18,0.0503308267114,0.00126034020376
H23,H,23,A2058,M,M,plx4720,dpi,0.0,3.8e-12,0,03_27_18,0.0457750016486,0.00150727542021
I02,I,2,WM88,M,M,plx4720,control,0.0,0.0,1,03_27_18,0.0285435756496,0.000873924772435
I03,I,3,WM88,M,M,plx4720,dpi,1.6e-05,1e-06,1,03_27_18,-0.0410208593083,0.00187104981106
I04,I,4,WM88,M,M,plx4720,dpi,1.6e-05,2.5e-07,1,03_27_18,-0.068637605061,0.00205281431503
I05,I,5,WM88,M,M,plx4720,dpi,1.6e-05,6.3e-08,1,03_27_18,-0.0490546094444,0.00121304648246
I06,I,6,WM88,M,M,plx4720,dpi,1.6e-05,1.6e-08,1,03_27_18,-0.0451817538615,0.00491410184677
I07,I,7,WM88,M,M,plx4720,dpi,1.6e-05,3.9e-09,1,03_27_18,-0.0583169452796,0.0026545209212
I08,I,8,WM88,M,M,plx4720,dpi,1.6e-05,9.8e-10,1,03_27_18,-0.048433854922,0.00485445714283
I09,I,9,WM88,M,M,plx4720,dpi,1.6e-05,2.4e-10,1,03_27_18,-0.0528598320138,0.00268629298458
I10,I,10,WM88,M,M,plx4720,dpi,1.6e-05,6.1e-11,1,03_27_18,-0.0604192158683,0.00490352940474
I11,I,11,WM88,M,M,plx4720,dpi,1.6e-05,1.5e-11,1,03_27_18,,
I12,I,12,WM88,M,M,plx4720,dpi,1.6e-05,3.8e-12,1,03_27_18,-0.0403546934363,0.0026715214695
I13,I,13,WM88,M,M,plx4720,control,1.6e-05,0.0,1,03_27_18,-0.0507382852945,0.00105171704692
I14,I,14,WM88,M,M,plx4720,dpi,1.6e-05,1e-06,1,03_27_18,-0.0406785508982,0.00182701316084
I15,I,15,WM88,M,M,plx4720,dpi,1.6e-05,2.5e-07,1,03_27_18,-0.0861027991074,0.00742931269292
I16,I,16,WM88,M,M,plx4720,dpi,1.6e-05,6.3e-08,1,03_27_18,-0.0448164377406,0.00267958504151
I17,I,17,WM88,M,M,plx4720,dpi,1.6e-05,1.6e-08,1,03_27_18,-0.0367110955081,0.00257490564428
I18,I,18,WM88,M,M,plx4720,dpi,1.6e-05,3.9e-09,1,03_27_18,-0.0297897136303,0.00330361809366
I19,I,19,WM88,M,M,plx4720,dpi,1.6e-05,9.8e-10,1,03_27_18,-0.0506014617205,0.00668399281439
I20,I,20,WM88,M,M,plx4720,dpi,1.6e-05,2.4e-10,1,03_27_18,-0.0606356583462,0.00271946073264
I21,I,21,WM88,M,M,plx4720,dpi,1.6e-05,6.1e-11,1,03_27_18,-0.0721422334502,0.00174735794978
I22,I,22,WM88,M,M,plx4720,dpi,1.6e-05,1.5e-11,1,03_27_18,-0.0695114918914,0.00137681510526
I23,I,23,WM88,M,M,plx4720,dpi,1.6e-05,3.8e-12,1,03_27_18,-0.0696485401509,0.00664986890496
J02,J,2,WM88,M,M,plx4720,control,0.0,0.0,1,03_27_18,0.0232516105381,0.000375450000397
J03,J,3,WM88,M,M,plx4720,dpi,4e-06,1e-06,1,03_27_18,-0.0304905544954,0.00188024669562
J04,J,4,WM88,M,M,plx4720,dpi,4e-06,2.5e-07,1,03_27_18,-0.0267118246133,0.00129320782213
J05,J,5,WM88,M,M,plx4720,dpi,4e-06,6.3e-08,1,03_27_18,-0.0216793262862,0.00224110707399
J06,J,6,WM88,M,M,plx4720,dpi,4e-06,1.6e-08,1,03_27_18,-0.0181351216929,0.000712566269966
J07,J,7,WM88,M,M,plx4720,dpi,4e-06,3.9e-09,1,03_27_18,-0.0170376561012,0.00148374041996
J08,J,8,WM88,M,M,plx4720,dpi,4e-06,9.8e-10,1,03_27_18,-0.0172085839702,0.00169836229387
J09,J,9,WM88,M,M,plx4720,dpi,4e-06,2.4e-10,1,03_27_18,-0.0139904482047,0.00141753748857
J10,J,10,WM88,M,M,plx4720,dpi,4e-06,6.1e-11,1,03_27_18,-0.0209356026998,0.00270104303846
J11,J,11,WM88,M,M,plx4720,dpi,4e-06,1.5e-11,1,03_27_18,-0.0249104383577,0.0024520464872
J12,J,12,WM88,M,M,plx4720,dpi,4e-06,3.8e-12,1,03_27_18,-0.00938182259278,0.00146706642268
J13,J,13,WM88,M,M,plx4720,control,4e-06,0.0,1,03_27_18,-0.0232042204524,0.00147429994385
J14,J,14,WM88,M,M,plx4720,dpi,4e-06,1e-06,1,03_27_18,-0.0252781505608,0.00188170097726
J15,J,15,WM88,M,M,plx4720,dpi,4e-06,2.5e-07,1,03_27_18,-0.0311805612967,0.00131205664489
J16,J,16,WM88,M,M,plx4720,dpi,4e-06,6.3e-08,1,03_27_18,-0.0274734466846,0.00349624770455
J17,J,17,WM88,M,M,plx4720,dpi,4e-06,1.6e-08,1,03_27_18,-0.0130773394787,0.00153847016934
J18,J,18,WM88,M,M,plx4720,dpi,4e-06,3.9e-09,1,03_27_18,-0.0126915595998,0.00332712428137
J19,J,19,WM88,M,M,plx4720,dpi,4e-06,9.8e-10,1,03_27_18,-0.0194966347763,0.00214844713207
J20,J,20,WM88,M,M,plx4720,dpi,4e-06,2.4e-10,1,03_27_18,-0.0267696933215,0.00111755760221
J21,J,21,WM88,M,M,plx4720,dpi,4e-06,6.1e-11,1,03_27_18,-0.0295417819244,0.0013339286517
J22,J,22,WM88,M,M,plx4720,dpi,4e-06,1.5e-11,1,03_27_18,-0.0247926803129,0.00221998929049
J23,J,23,WM88,M,M,plx4720,dpi,4e-06,3.8e-12,1,03_27_18,-0.0255023070701,0.00259536315243
K02,K,2,WM88,M,M,plx4720,control,0.0,0.0,1,03_27_18,0.0268745883726,0.000975514359838
K03,K,3,WM88,M,M,plx4720,dpi,1e-06,1e-06,1,03_27_18,-0.0184978318831,0.000835434333476
K04,K,4,WM88,M,M,plx4720,dpi,1e-06,2.5e-07,1,03_27_18,-0.0100914804414,0.00153781193145
K05,K,5,WM88,M,M,plx4720,dpi,1e-06,6.3e-08,1,03_27_18,-0.0180851041403,0.00109264057622
K06,K,6,WM88,M,M,plx4720,dpi,1e-06,1.6e-08,1,03_27_18,-0.0213432836306,0.00319519036249
K07,K,7,WM88,M,M,plx4720,dpi,1e-06,3.9e-09,1,03_27_18,-0.00243464984303,0.00153778927454
K08,K,8,WM88,M,M,plx4720,dpi,1e-06,9.8e-10,1,03_27_18,-0.00677684529131,0.00127668144434
K09,K,9,WM88,M,M,plx4720,dpi,1e-06,2.4e-10,1,03_27_18,-0.0121394426782,0.00256349633938
K10,K,10,WM88,M,M,plx4720,dpi,1e-06,6.1e-11,1,03_27_18,-0.00977034989837,0.00228653401222
K11,K,11,WM88,M,M,plx4720,dpi,1e-06,1.5e-11,1,03_27_18,-0.0164560891051,0.00114229390179
K12,K,12,WM88,M,M,plx4720,dpi,1e-06,3.8e-12,1,03_27_18,-0.0168673009621,0.00199331109815
K13,K,13,WM88,M,M,plx4720,control,1e-06,0.0,1,03_27_18,-0.0157924124432,0.00161176862654
K14,K,14,WM88,M,M,plx4720,dpi,1e-06,1e-06,1,03_27_18,-0.0122547223793,0.00215072802103
K15,K,15,WM88,M,M,plx4720,dpi,1e-06,2.5e-07,1,03_27_18,-0.0116091243197,0.00132919957796
K16,K,16,WM88,M,M,plx4720,dpi,1e-06,6.3e-08,1,03_27_18,-0.0158377232755,0.00113888873589
K17,K,17,WM88,M,M,plx4720,dpi,1e-06,1.6e-08,1,03_27_18,0.00395889715108,0.00107262596094
K18,K,18,WM88,M,M,plx4720,dpi,1e-06,3.9e-09,1,03_27_18,-0.0245160709326,0.00157049877604
K19,K,19,WM88,M,M,plx4720,dpi,1e-06,9.8e-10,1,03_27_18,-0.0222238518698,0.000962037769303
K20,K,20,WM88,M,M,plx4720,dpi,1e-06,2.4e-10,1,03_27_18,-0.0195725884029,0.00146431502218
K21,K,21,WM88,M,M,plx4720,dpi,1e-06,6.1e-11,1,03_27_18,-0.0231840198293,0.00157808801679
K22,K,22,WM88,M,M,plx4720,dpi,1e-06,1.5e-11,1,03_27_18,-0.0294206299856,0.00187631717889
K23,K,23,WM88,M,M,plx4720,dpi,1e-06,3.8e-12,1,03_27_18,-0.0232155404065,0.00115175969728
L02,L,2,WM88,M,M,plx4720,control,0.0,0.0,1,03_27_18,0.0233319232891,0.00201695425346
L03,L,3,WM88,M,M,plx4720,dpi,2.5e-07,1e-06,1,03_27_18,-0.01016427575,0.00180012372458
L04,L,4,WM88,M,M,plx4720,dpi,2.5e-07,2.5e-07,1,03_27_18,-0.00838594647034,0.00165090355748
L05,L,5,WM88,M,M,plx4720,dpi,2.5e-07,6.3e-08,1,03_27_18,-0.0105040236,0.0021769678512
L06,L,6,WM88,M,M,plx4720,dpi,2.5e-07,1.6e-08,1,03_27_18,-0.0106386480966,0.000605323475849
L07,L,7,WM88,M,M,plx4720,dpi,2.5e-07,3.9e-09,1,03_27_18,-0.00655674391401,0.00100628743858
L08,L,8,WM88,M,M,plx4720,dpi,2.5e-07,9.8e-10,1,03_27_18,-0.0184201121514,0.00149134159397
L09,L,9,WM88,M,M,plx4720,dpi,2.5e-07,2.4e-10,1,03_27_18,-0.00604465266055,0.00075177487483
L10,L,10,WM88,M,M,plx4720,dpi,2.5e-07,6.1e-11,1,03_27_18,-0.0159150739955,0.00113007959862
