"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","mitochondrial membrane (GO:0031966)","76/457",3.02256075244847e-21,7.74871235624252e-19,8.5189634432607e-15,3.71426806126166e-12,-2.37893383054304,112.40029989869,"ACADVL;COX7B;ACAA2;LRRK2;ECI1;ATP5C1;GHITM;COX6A1;ATP5G1;HK2;HK1;OPA1;AIFM2;NNT;CHCHD6;MPC2;PDK4;UQCRFS1;DNM1L;COX8A;EPHA4;BNIP3L;ACSL1;NDUFC1;ACSL3;SDHA;SDHB;COQ10A;CYP27A1;HADHB;AFG3L2;HADHA;UQCRC1;VDAC3;NDUFS3;GUF1;VDAC2;NDUFS2;SUCLG1;NDUFS1;UQCRC2;SLC25A5;SLC25A12;SLC25A11;SLC25A4;NDUFB9;UQCRB;ATP5A1;NDUFB3;ETFDH;AKAP1;TIMM50;HSPD1;ATP5B;UCP2;LDHD;CYC1;NDUFV1;COX10;VAT1;PRNP;NDUFA8;TRAP1;GK;MTX2;NDUFA3;GOT2;IMMT;COX6C;MYO19;SLC25A39;OGDH;SFXN4;SFXN1;CRAT;CDS2"
"2","mitochondrion (GO:0005739)","142/1269",3.55445520928556e-21,7.74871235624252e-19,1.87942311034512e-13,4.09714238055235e-11,-2.33145500484631,109.779088876216,"PECR;OXNAD1;ACAA2;ECI1;ATP5C1;OGDHL;GHITM;GLS;NARS;CHCHD6;MPC2;CHCHD7;NARS2;PDK4;LONP1;GLUL;FADS1;TGM2;C14ORF159;BNIP3L;PDHX;PPTC7;ACSL1;MTUS1;CYBA;SDHA;SDHB;LARS2;AFG3L2;PPA2;LACTB2;UQCRC1;VDAC3;VDAC2;SUCLG1;UQCRC2;SLC27A3;ISCU;STXBP1;MRPL19;AK3;TMTC1;MRPL15;TIMM50;CYB5R2;NLN;ATP5B;PRDX5;LDHD;CYC1;COX10;DECR1;TRAP1;NDFIP2;PDHA1;IDH1;CCDC136;GOT2;CHCHD10;COQ9;CS;QDPR;SCCPDH;OGDH;ACO2;GRSF1;MIPEP;ACADVL;ALAS1;FASTKD1;FASTKD2;LRRK2;CLTC;ATP5G1;CLYBL;HK2;HK1;GHR;SPTLC2;OPA1;GM2A;AIFM2;NNT;UQCRFS1;ME2;DLAT;ACADM;DNM1L;ABCD1;IDH3A;LYPLA1;MRPS25;NDUFC1;MRPS5;VAMP8;VWA8;HADHB;HADHA;EHHADH;PCCB;DNAJC4;NDUFS3;NDUFS2;ALDOC;NDUFS1;SLC25A12;SLC25A5;SGK1;SLC25A11;SLC25A4;ALDH9A1;ATG4D;FH;PON2;ATP5A1;MRPS30;BARX2;AKAP1;HSPD1;ALDH1B1;UCP2;SH3BP5;IARS2;CKB;RILP;SNCA;NDUFA8;SLC16A1;MDH1;MTX2;AADAT;NDUFA3;GSR;IMMT;COX6C;LRPPRC;ETNPPL;PDP1;SUCLA2;SLC25A39;OCIAD1;CRAT"
"3","mitochondrial inner membrane (GO:0005743)","59/341",1.43523401035202e-17,2.08587342837827e-15,2.407272081184e-12,3.49856875798741e-10,-2.32443370446789,90.1476259877141,"ACADVL;COX7B;ACAA2;LRRK2;ECI1;ATP5C1;GHITM;COX6A1;ATP5G1;OPA1;NNT;MPC2;CHCHD6;PDK4;UQCRFS1;COX8A;NDUFC1;SDHA;SDHB;COQ10A;CYP27A1;HADHB;AFG3L2;HADHA;UQCRC1;GUF1;NDUFS3;VDAC2;NDUFS2;NDUFS1;SUCLG1;UQCRC2;SLC25A12;SLC25A5;SLC25A11;SLC25A4;NDUFB9;UQCRB;NDUFB3;ATP5A1;ETFDH;HSPD1;TIMM50;UCP2;LDHD;CYC1;NDUFV1;COX10;TRAP1;NDUFA8;NDUFA3;GOT2;IMMT;COX6C;SLC25A39;SFXN4;SFXN1;CRAT;CDS2"
"4","organelle inner membrane (GO:0019866)","59/360",1.95170295910056e-16,2.12735622541962e-14,1.71482589766361e-11,1.86916022845334e-09,-2.32742324630097,84.1890878655622,"ACADVL;COX7B;ACAA2;LRRK2;ECI1;ATP5C1;GHITM;COX6A1;ATP5G1;OPA1;NNT;CHCHD6;MPC2;PDK4;UQCRFS1;COX8A;NDUFC1;SDHA;SDHB;COQ10A;CYP27A1;HADHB;AFG3L2;HADHA;UQCRC1;NDUFS3;GUF1;VDAC2;NDUFS2;SUCLG1;NDUFS1;UQCRC2;SLC25A5;SLC25A12;SLC25A11;SLC25A4;NDUFB9;UQCRB;ATP5A1;NDUFB3;ETFDH;TIMM50;HSPD1;UCP2;LDHD;CYC1;NDUFV1;COX10;NDUFA8;TRAP1;NDUFA3;GOT2;IMMT;COX6C;SLC25A39;SFXN4;SFXN1;CRAT;CDS2"
"5","extracellular vesicular exosome (GO:0070062)","223/2717",5.3760841664657e-16,4.68794539315809e-14,2.91699191196855e-08,2.11968078936382e-06,-2.16673504101566,76.1811066636608,"SLC46A3;CYFIP2;AHCYL1;FRMPD1;ECI1;ATP5C1;GHITM;FNBP1L;ENO2;NAMPT;GLUL;TBC1D10A;TMEM8A;CDK5RAP2;PRKCB;SERPINF1;ARMC9;SFRP1;PPA2;VDAC3;VDAC2;PADI2;SUCLG1;UQCRC2;ATP6V0D2;TSTA3;IGSF8;LXN;TTYH3;ABCB1;STXBP1;STXBP2;NEDD4L;PTTG1IP;FAM171A1;ATP5B;PRDX5;SYNGR2;S100A16;PDGFC;ATP6V0A4;ST3GAL6;APOE;RSU1;TSPAN3;PROM1;A2M;ST3GAL1;ATP6V1C1;DECR1;VAT1;TRAP1;CADM1;FN1;RAB27A;ERLIN2;CS;H2AFY2;HYOU1;CD22;CC2D1A;ROBO2;DDR1;GPI;ECM1;TINAGL1;CAB39L;ARPC1B;CLTC;WASL;SULT1C2;UBL3;IMPA1;CTSL;HYAL1;ACADM;NANS;CTSC;LYPLA1;SERPINB1;TMED9;WARS;MYOF;TMC6;RENBP;HADHB;VAMP8;UGDH;PLSCR1;SLC7A8;OAF;CANX;PXDN;ALDOC;GAS6;ZNF114;CD44;FH;ASAH1;AHNAK;ATP5A1;LMAN1;NT5E;SPP1;FLNA;CKB;SIAE;SLC16A1;GK;MDH1;GDF15;GSR;WWP1;TUBB4A;NUDT9;KRT18;FABP5;QPCT;CTNNB1;PLCD1;SEMA5A;SCARB2;RAB3B;ACAA2;ATP8A1;CLSTN3;PEBP1;JADE2;METRNL;TM7SF3;PPP1CB;NARS;DOCK10;EFEMP1;ENPP4;CAPN1;TGM2;PLS1;RAB2A;SPINK1;APLP2;ATP1B1;SDHB;TUBA4A;COL4A2;ADAM9;TNIK;RHCG;SQSTM1;RTN3;FKBP2;SLC1A4;NDRG2;FBLN5;FUT3;SDCBP;SLC9A3R1;SCIN;PODXL;ATP6V1H;IGFBP7;PRNP;SLC37A2;HSPA5;GOT1;IDH1;GFPT1;GOT2;ARHGAP23;QDPR;IGSF11;DAB2;COL5A1;COL5A3;REEP2;CNTN1;WDR1;LRRK2;ITGB3;TNFAIP3;GM2A;CA2;PRADC1;GMPPA;ACP5;ITGB8;ACP2;PGM1;CTDSPL;DNM1;PTP4A1;DNAJC3;TBC1D4;DSG2;SLC25A5;ALDH9A1;NDUFB9;HPGD;SEMA3C;NDUFB3;PRELP;SLC3A2;PRCP;LRP2;NCALD;HSPD1;UGP2;SH3BP4;STOM;NCAM1;LUM;NAGA;RAB10;MYO1D;MARCKS;NFASC;SUCLA2;MGP;PI15;VIM;GPD1L;CPVL;PFKP"
"6","mitochondrial matrix (GO:0005759)","40/208",7.0559226047644e-14,5.12730375946213e-12,6.29323439596731e-10,5.4877003932835e-08,-2.24000561744905,67.8325757618579,"ACADVL;FH;ALAS1;LRRK2;ECI1;ATP5A1;ETFDH;AK3;ATP5C1;GLS;HSPD1;ATP5B;PRDX5;LONP1;PDK4;IARS2;ACADM;DLAT;DECR1;IDH3A;PDHX;TRAP1;PDHA1;AADAT;MARS2;GSR;GOT2;NUDT9;PDP1;CS;CYP27A1;LARS2;SUCLA2;PPA2;PCCB;OGDH;GUF1;SUCLG1;ACO2;ISCU"
"7","oxidoreductase complex (GO:1990204)","22/88",1.55078591074197e-10,9.65918081547857e-09,1.0027040025255e-07,6.24541350144453e-06,-2.07986532137598,46.9781033056305,"NDUFB9;NDUFA8;PDHA1;UQCRB;NDUFA3;NDUFB3;NDUFC1;CYBA;SDHA;SDHB;P4HA2;UQCRC1;NDUFS3;OGDH;UQCRFS1;NDUFS2;NDUFS1;UQCRC2;DLAT;GPD1L;NDUFV1;SNCA"
"8","mitochondrial membrane part (GO:0044455)","29/167",2.35371404917011e-09,1.28277415679771e-07,9.3526560365991e-07,5.09719753994651e-05,-2.18310480002132,43.3723353600256,"NDUFB9;COX7B;UQCRB;LRRK2;NDUFB3;ATP5A1;ETFDH;ATP5C1;ATP5G3;COX6A1;ATP5G1;TIMM50;ATP5B;OPA1;NNT;UQCRFS1;NDUFV1;SNCA;NDUFA8;NDUFA3;NDUFC1;SDHA;SDHB;CANX;UQCRC1;NDUFS3;NDUFS2;NDUFS1;UQCRC2"
"9","organelle outer membrane (GO:0031968)","21/131",1.4568031888478e-06,7.05740211486269e-05,8.1356823619554e-05,0.00394128612201395,-2.0400542831217,27.416832409293,"VAT1;PRNP;EPHA4;BNIP3L;GK;ACSL1;MTX2;LRRK2;ACSL3;MYO19;HK2;HK1;AKAP1;HADHB;OPA1;AIFM2;VDAC3;VDAC2;DHCR7;DNM1L;SNCA"
"10","outer membrane (GO:0019867)","21/137",3.05671256290544e-06,0.000133272667742677,0.00014259414521504,0.00557988439347058,-2.04254371726034,25.936568468104,"VAT1;PRNP;EPHA4;BNIP3L;GK;MTX2;ACSL1;LRRK2;ACSL3;MYO19;HK2;HK1;AKAP1;HADHB;OPA1;AIFM2;VDAC3;VDAC2;DHCR7;DNM1L;SNCA"
"11","cytoplasmic vesicle part (GO:0044433)","38/363",8.38451570594006e-06,0.000243709923185991,0.000680412357839067,0.0197773192011889,-2.13913897192816,25.0046605282847,"PCSK1;MCFD2;RAB3A;ITGB3;COPB1;TYRP1;CLTC;USO1;ICA1;WASL;NCALD;LMAN1;SYNGR1;SV2A;TMEM67;SLC17A7;ATP6V0A4;APOE;A2M;SNCA;ABCC4;RPH3AL;TGFB2;TGFB1;CAV1;ABCA3;SEMA4C;AHNAK2;FN1;RAB27A;CYBA;SYP;RAB10;VAMP8;TBC1D4;HYOU1;GAS6;ATP6V0D2"
"12","mitochondrial outer membrane (GO:0005741)","19/118",4.26221195393514e-06,0.000154860367659643,0.000166372699805315,0.00557988439347058,-1.96111959681483,24.2506603203718,"VAT1;PRNP;EPHA4;BNIP3L;GK;ACSL1;MTX2;LRRK2;ACSL3;MYO19;HK2;HK1;AKAP1;HADHB;OPA1;AIFM2;VDAC3;VDAC2;DNM1L"
"13","cytosol (GO:0005829)","171/2529",4.21799444216737e-06,0.000154860367659643,0.0170748216196473,0.140464570305023,-1.91074249538151,23.6476372504951,"CARS;CYFIP2;RAB3B;TRIO;RAB3A;WIPF3;ARHGAP39;ENO2;BEST1;NARS;CCND2;OPHN1;DPYSL5;RPS6KA1;DPYSL3;NAMPT;WWC3;PIP4K2A;CAPN1;GYG2;GLUL;CDK5RAP2;TGM2;CAST;BNIP3L;RALBP1;PRKCB;HBE1;MATK;ACOT12;PHKA1;FNDC3A;TUBA4A;SFRP1;PHOSPHO1;PRKAR1A;MAP1B;WDFY1;TRIB3;SQSTM1;OPTN;ISCU;PDE9A;PFKFB2;NOTCH3;ISYNA1;NNMT;FBLIM1;STXBP1;COPB1;HSPA4L;STXBP2;NEDD4L;PIK3R3;RASAL1;RASGRP2;NDRG2;CPLX1;NPAS2;RAP1GAP;ARHGAP12;PIK3R5;SDCBP;PRDX5;EPB41L1;S100A16;ATP6V1H;RSU1;KIF3C;NLRP1;A2M;PPARGC1A;ATP6V1C1;RAP1GAP2;CHKA;GOT1;XRCC5;IDH1;GFPT1;SMAD9;NFATC2;ASNS;PARVA;ARHGAP26;PTK2;ARHGAP23;QDPR;SYNJ1;CDC16;GPI;CDKN1A;WDR1;CAB39L;LRRK2;CLTC;ICA1;TNFAIP3;WASL;RLBP1;HK2;HK1;SULT1C2;IMPA1;AIFM2;CA2;ACP5;NEFL;UPP1;NANS;JAK2;DNM1L;ABCD1;PGM1;SREBF1;LYPLA1;WARS;PLEKHG2;SPHK1;STRADB;ARAP1;UGDH;TBC1D1;PLSCR1;PLCB4;DCT;EHHADH;PCCB;ALDOC;DEPDC5;SGK1;ALDH9A1;PRKAA2;HPGD;AHNAK;USO1;ODC1;FYB;PAPSS2;NCALD;AKAP1;HSPD1;UGP2;IFI16;CHN2;TP53INP2;CTNNA1;FLNA;CKB;PDLIM5;SH2B3;SNCA;FARP2;ARFGEF1;PTPN1;GK;MYO10;MDH1;GSR;WWP1;CABLES1;TUBB4A;APC;DNAJA4;CTNNB1;SPRY1;VIM;GPD1L;PIK3AP1;SIPA1;PLCD1;PFKP"
"14","cytoplasmic membrane-bounded vesicle (GO:0016023)","46/492",1.9444988549448e-05,0.000498706765150549,0.00174355681654773,0.033051772696296,-2.09588539631765,22.7359995799436,"RAB3B;PMEL;RAB3A;DOC2A;ITGB3;STXBP1;SPESP1;COPB1;LRRK2;STXBP2;TYRP1;CLTC;LRP2;WASL;FNBP1L;HSPD1;ADD2;PCLO;SYNGR2;SV2A;MLANA;DPYSL3;CTNNA1;SNCA;TMED9;CADM1;SORT1;ABCA3;SPHK1;HPS4;RAB27A;CYBA;SYP;SYT13;FNDC3A;TYR;SYNGR3;SYTL4;SYT17;RAB10;VAMP8;DAB2;DCT;RAB37;PKN1;SIPA1"
"15","pigment granule (GO:0048770)","8/22",5.41725483348927e-06,0.000168708793385809,0.000154249953760401,0.00557988439347058,-1.79947601923579,21.8203046968528,"PMEL;DCT;MLANA;ITGB3;TYRP1;HPS4;RAB27A;TYR"
"16","axon (GO:0030424)","22/161",1.21155659749807e-05,0.000330149172818223,0.00042654839992169,0.0132839358832755,-1.91728318909369,21.7056003475694,"EPHA4;TGFB2;DTNA;TGFB1;RAB3A;CADM1;SEMA3A;SPHK1;LRRK2;GRIK3;ATP1A3;NOV;CA2;CANX;KIF13B;NEFL;NRCAM;SLC17A7;ALDOC;ACADM;TNFRSF21;SNCA"
"17","melanosome (GO:0042470)","8/22",5.41725483348927e-06,0.000168708793385809,0.000154249953760401,0.00557988439347058,-1.75020394904589,21.2228354485296,"PMEL;DCT;MLANA;ITGB3;TYRP1;HPS4;RAB27A;TYR"
