,DIC_0,DIC_1,DIC_2,DIC_3,DIC_4,DIC_5,DelSurf,E0,E0_std,E1,E1_obs,E1_obs_std,E1_std,E2,E2_obs,E2_obs_std,E2_std,E3,E3_obs,E3_obs_std,E3_std,MCMC_BURN,MCMC_SAMPLE,MCMC_converge,R2,VBS,VBS_verr,alpha_lower,alpha_upper,beta,beta1,beta1_norm,beta1_norm_std,beta1_obs,beta1_obs_norm,beta1_obs_norm_std,beta1_obs_std,beta1_std,beta2,beta2_norm,beta2_norm_std,beta2_obs,beta2_obs_norm,beta2_obs_norm_std,beta2_obs_std,beta2_std,beta_norm,beta_norm_std,beta_obs,beta_obs_norm,beta_obs_norm_std,beta_obs_std,beta_std,cell_line,drug1_name,drug2_name,expt,h1,h1_std,h2,h2_std,log_C1,log_C1_std,log_C2,log_C2_std,log_alpha1,log_alpha1_std,log_alpha2,log_alpha2_std,log_c1_lower,log_c1_upper,log_c2_lower,log_c2_upper,log_gamma1,log_gamma1_std,log_gamma2,log_gamma2_std,log_like_mcmc,log_like_pso_finish,log_like_pso_start,max_conc_d1,max_conc_d2,memory_Mb,min_conc_d1,min_conc_d2,model_level,r1,r1_std,r2,r2_std,time
0,128547.40419,127342.692125,126905.743046,126581.737722,123693.51738,123372.216909,0.5910248871,0.0371440276,1.7209498851E-05,0.008026652,0.0118498795,3.24980986801E-05,0.000027516,0.003542846,0.0133251486,0.0001236723,0.0001371095,-0.0096301339,-0.0053945139,0.0001038011,8.41196013276E-05,100000,100000,1,0.8198611431,0.0580287893,5.03040751098E-12,-7,7,0.0131729799,0.0176567859,0.6064003187,0.0031307123,0.0172443934,0.6817542644,0.0035647071,0.0001087694,8.85055694037E-05,0.0131729799,0.3920391869,0.0058797945,0.0187196625,0.7859170278,0.0097041055,0.0001614605,0.0001608574,0.3920391869,0.0061214363,0.0172443934,0.6817542644,0.0035647071,0.0001087694,0.0001608574,SKMEL5,plx4720,dpi,03-27-2018-dpi+plx_cm_bp_timeavg_preCalcDIP_timSub.csv,0.3942183816,0.0010445615,0.4986418795,0.001536858,-6.877441804,0.0047281338,-6.775065712,0.0092820899,0.8671048541,0.0169892185,0.3148004155,0.0591912636,-10.7958800173,-2.7958800173,-14.4202164034,-4,1,0,1,0,"(61705.885766979009,)",63154.2794638,422927.633624,0.000016,0.000001,562,0,0,5,3.7118021937,0.0024202167,3.7118278949,0.0024377565,99.249339815
0,169537.350994,142856.018644,138730.276927,129169.994227,127794.397645,126800.14097,0.2844784584,0.0260555789,3.57426811209E-05,-0.0392116674,-0.0309468411,5.62596698464E-05,4.3599306192E-05,0.0019934029,0.0161382825,0.0001537865,0.0001144758,-0.0118915262,-0.028763036,0.0001042842,5.78583207541E-05,100000,100000,1,0.6848757102,-0.0524415924,9.28114245972E-13,-7,7,-0.0273201412,-0.0273201412,-0.4185888444,0.0040491026,-0.0021838051,-0.0383107436,0.0041218784,0.0001184919,7.24464269713E-05,0.0138849291,0.5770437828,0.0117149582,0.0449013186,4.5275765771,0.0873477961,0.0001858103,0.0001282665,-0.4185888444,0.0022695559,-0.0021838051,-0.0383107436,0.0041218784,0.0001184919,7.24464269713E-05,WM88,plx4720,dpi,03-27-2018-dpi+plx_cm_bp_timeavg_preCalcDIP_timSub.csv,0.3609378832,0.0007516732,0.2246276829,0.0021724965,-7.1194365217,0.0048657359,-5.3135041727,0.0475780068,-6.9706993388,0.0287078566,-2.1521342527,0.1054313158,-10.7958800173,-2.7958800173,-14.4202164034,-4,1,0,1,0,"(63251.493663364054,)",48327.6099763,1155699.26408,0.000016,0.000001,562,0,0,5,2.5996324863,0.0050865772,2.5996126209,0.0051532721,101.005010513
0,174299.575778,155921.928501,154883.445874,143789.639212,140427.034443,122112.335679,0.7464742005,0.0463162701,1.8272684254E-05,0.027811805,0.0336837742,4.54956504823E-05,4.05631613969E-05,-0.0001761768,0.0375020256,0.0001532326,0.0001339713,-0.0780034111,0.015743349,0.0006218368,0.002903159,100000,100000,1,0.6933574792,0.2581120221,8.02040918778E-11,-7,7,0.0778272343,0.1058152161,5.7183612274,0.0139320536,0.0179404253,1.4201805762,0.0161493516,0.0006234989,0.0029034424,0.0778272343,1.6739758721,0.0135981744,0.0217586767,2.4685810244,0.061997918,0.0006404383,0.0029062485,1.6739758721,0.0633369058,0.0179404253,1.4201805762,0.0161493516,0.0006234989,0.0029062485,A2058,plx4720,dpi,03-27-2018-dpi+plx_cm_bp_timeavg_preCalcDIP_timSub.csv,0.5260364898,0.0020750384,0.4163378065,0.0013393355,-5.4283558966,0.0069007949,-4.4846317766,0.0214130978,-0.4662157088,0.0388510559,6.995917017,0.0041214193,-10.7958800173,-2.7958800173,-14.4202164034,-4,1,0,1,0,"(59763.72518979638,)",62969.7308082,752255.147392,0.000016,0.000001,558,0,0,5,4.6600148914,0.0027113609,4.6602161728,0.0027203034,102.254777332
0,105705.168484,101669.48401,100914.932737,96257.8736167,95327.3234851,92845.9803844,0.9143653294,0.0324785248,3.19158355949E-05,-0.0055398551,0.0116232655,0.0001190789,0.0001036429,-0.0060881555,0.0085930422,0.0001013653,8.55092977869E-05,-0.0011105881,-0.0034827169,8.66820704766E-05,3.11962257193E-05,100000,100000,1,0.6769176,0.0456263493,1.48347636242E-12,-7,7,-0.0049775674,-0.004429267,-0.1165033082,0.0037175345,0.0151059824,0.7243248432,0.0102634494,0.0001472874,0.0001082361,-0.0049775674,-0.1290639323,0.0033820044,0.0120757591,0.5055689793,0.0069604425,0.0001333743,9.10222198539E-05,-0.1290639323,0.0021604928,0.0120757591,0.5055689793,0.0069604425,0.0001333743,9.10222198539E-05,SC10,plx4720,dpi,03-27-2018-dpi+plx_cm_bp_timeavg_preCalcDIP_timSub.csv,0.3881197566,0.0011506166,0.4723324404,0.001107485,-5.0139038053,0.0122998472,-6.447507979,0.0085896075,3.5742117898,0.0228421806,-6.4693014639,0.4248050835,-10.7958800173,-2.7958800173,-14.4202164034,-4,1,0,1,0,"(45847.018107338627,)",45155.022286,493605.110225,0.000016,0.000001,563,0,0,5,3.2424080697,0.0045889072,3.2446856788,0.004593977,103.620312353
0,50498.3971235,50214.2199925,49946.9047237,49800.8693756,46668.5182972,46250.7959236,0.1161196068,0.0470526721,2.64966853869E-05,0.0179231098,0.0295299266,5.87153299039E-05,5.77972856791E-05,0.0192139528,0.0266558848,0.0001286062,9.80977781725E-05,-0.1628138162,0.0123724242,0.0011887399,0.0123595615,100000,100000,1,0.7038703939,0.0287656088,5.78420198836E-13,-7,7,0.1807369259,0.1807369259,6.2045877524,0.0254057478,0.0171575025,0.9791560607,0.0261923545,0.001190189,0.0123596966,0.182027769,6.5386545583,0.0256956331,0.0142834606,0.7002799169,0.027523335,0.0011956764,0.0123599508,6.2045877524,0.2634467376,0.0142834606,0.7002799169,0.027523335,0.0011956764,0.0123596966,WM115,plx4720,dpi,03-27-2018-dpi+plx_cm_bp_timeavg_preCalcDIP_timSub.csv,0.200310591,0.0011918418,1.3900424523,0.0110970282,-5.6889382434,0.0132999017,-6.3150091384,0.0055547089,-4.3485367139,1.5421954404,-5.1339845747,0.1793580262,-10.7958800173,-2.7958800173,-14.4202164034,-4,1,0,1,0,"(23129.446983589893,)",25169.9601697,272950.801833,0.000016,0.000001,563,0,0,5,4.7116174335,0.0037084486,4.7116291755,0.0037595314,107.404787099
0,159764.088367,156656.408885,155291.361799,154678.490269,112081.885822,110614.167388,0.5524397022,0.0362860772,2.53041485251E-05,-0.0139728147,-0.0032976982,5.9199471964E-05,5.20721878526E-05,0.0091305928,0.0094131614,8.57601713041E-05,8.61526066313E-05,-0.0137656757,-0.0106507338,7.55264489419E-05,6.64552106158E-05,100000,100000,1,0.7245997996,0.0330205034,6.19290197537E-13,-7,7,-0.000207139,-0.000207139,-0.0041214396,0.0022982829,0.0073530356,0.185758826,0.0027395938,9.59626071477E-05,8.44263452114E-05,0.0228962686,0.84315449,0.0059062437,0.0200638952,0.7466214463,0.0059930764,0.0001142762,0.0001088052,-0.0041214396,0.0021043757,0.0073530356,0.185758826,0.0027395938,9.59626071477E-05,8.44263452114E-05,SC07,plx4720,dpi,03-27-2018-dpi+plx_cm_bp_timeavg_preCalcDIP_timSub.csv,0.3406487934,0.0008444655,0.8854179929,0.0057206354,-6.4666465057,0.004908025,-8.2341887375,0.0075258328,0.6429846027,0.0235669653,0.697657941,0.0215301958,-10.7958800173,-2.7958800173,-14.4202164034,-4,1,0,1,0,"(55262.459380607004,)",76314.9529517,635741.21701,0.000016,0.000001,559,0,0,5,3.6242847165,0.0035971921,3.6242370231,0.0036080867,115.091515334
0,136408.320707,132473.531879,130992.299479,129011.263404,126584.19322,125559.655641,0.4166688985,0.0324905546,0.000016857,-0.0192805369,-0.002589468,4.98344755724E-05,4.68826699687E-05,0.0007964272,0.0043995025,6.07708056283E-05,0.000057572,-0.0226475429,-0.0165474283,0.0001009051,8.04961385374E-05,100000,100000,1,0.8064417538,0.0488202641,7.00947317061E-16,-7,7,0.0033670061,0.0033670061,0.0650364125,0.0032263264,0.0139579603,0.3978891478,0.0036952631,0.0001125403,9.3153706651E-05,0.0234439701,0.7396944476,0.0042027622,0.0209469308,0.7456798264,0.0049136265,0.0001177919,9.89654530204E-05,0.0650364125,0.0026620543,0.0139579603,0.3978891478,0.0036952631,0.0001125403,9.3153706651E-05,SC01,plx4720,dpi,03-27-2018-dpi+plx_cm_bp_timeavg_preCalcDIP_timSub.csv,0.2737859442,0.0004527161,0.4777452806,0.0013469539,-5.9740840898,0.0049623293,-7.8668832348,0.007763229,-0.3079392883,0.0365766227,1.3801254672,0.0357329009,-10.7958800173,-2.7958800173,-14.4202164034,-4,1,0,1,0,"(62657.841247363285,)",66260.9338349,1224860.66395,0.000016,0.000001,893,0,0,5,3.2442315743,0.0023650535,3.2441937213,0.0023530625,47.3149557193
