"","X.1","X","CellLine","rep","Time","l2","nl2","group"
"1",1,7171,"SKMEL5",1,0,12.2240016741981,0,"Population Response"
"2",2,7172,"SKMEL5",1,14.9692,12.5201275503249,0.296125876126746,"Population Response"
"3",3,7173,"SKMEL5",1,21.8833,12.5117526537674,0.287750979569275,"Population Response"
"4",4,7174,"SKMEL5",1,38.4294,12.3542493819452,0.130247707747136,"Population Response"
"5",5,7175,"SKMEL5",1,44.4325,12.3742244261237,0.150222751925627,"Population Response"
"6",6,7176,"SKMEL5",1,62.9386,12.6759570329417,0.451955358743644,"Population Response"
"7",7,7177,"SKMEL5",1,72.1064,12.7642496053672,0.540247931169056,"Population Response"
"8",8,7178,"SKMEL5",1,72.7017,12.6068678373742,0.382866163176047,"Population Response"
"9",9,7179,"SKMEL5",1,86.8056,12.8645730817736,0.640571407575536,"Population Response"
"11",12,7197,"SKMEL5",2,0,12.5040741145206,0,"Population Response"
"12",13,7198,"SKMEL5",2,14.9692,12.786065381164,0.281991266643384,"Population Response"
"13",14,7199,"SKMEL5",2,21.8833,12.7838167593202,0.279742644799605,"Population Response"
"14",15,7200,"SKMEL5",2,38.4294,12.6564248632778,0.152350748757204,"Population Response"
"15",16,7201,"SKMEL5",2,44.4325,12.7004397181411,0.196365603620515,"Population Response"
"16",17,7202,"SKMEL5",2,62.9386,12.9812104882717,0.477136373751117,"Population Response"
"17",18,7203,"SKMEL5",2,72.1064,13.0963857344527,0.592311619932074,"Population Response"
"18",19,7204,"SKMEL5",2,72.7017,12.9229559919085,0.4188818773879,"Population Response"
"19",20,7205,"SKMEL5",2,86.8056,13.169455297697,0.665381183176454,"Population Response"
"21",23,7223,"SKMEL5",3,0,12.3165643853969,0,"Population Response"
"22",24,7224,"SKMEL5",3,14.9692,12.609178738142,0.292614352745037,"Population Response"
"23",25,7225,"SKMEL5",3,21.8833,12.6261653199045,0.309600934507555,"Population Response"
"24",26,7226,"SKMEL5",3,38.4294,12.4522412404308,0.135676855033875,"Population Response"
"25",27,7227,"SKMEL5",3,44.4325,12.4800328145839,0.163468429187006,"Population Response"
"26",28,7228,"SKMEL5",3,62.9386,12.7879025593914,0.471338173994489,"Population Response"
"27",29,7229,"SKMEL5",3,72.1064,12.911953675622,0.595389290225031,"Population Response"
"28",30,7230,"SKMEL5",3,72.7017,12.7380922596205,0.421527874223548,"Population Response"
"29",31,7231,"SKMEL5",3,86.8056,12.9421479203948,0.625583534997906,"Population Response"
"31",34,7249,"SKMEL5",4,0,12.4291451704787,0,"Population Response"
"32",35,7250,"SKMEL5",4,14.9692,12.704984324893,0.275839154414236,"Population Response"
"33",36,7251,"SKMEL5",4,21.8833,12.6910891862365,0.261944015757788,"Population Response"
"34",37,7252,"SKMEL5",4,38.4294,12.5488219084588,0.119676737980006,"Population Response"
