"","X.1","X","Time","cID","drug","l2","nl2","conc","Date"
"75",94,194,23.7597,16,"plx",11.6735531657194,-0.612100194183373,8,20150315
"76",95,195,31.0755,16,"plx",11.7780913691733,-0.507561990729469,8,20150315
"77",96,196,45.7508,16,"plx",11.8360713799325,-0.449581979970229,8,20150315
"78",97,197,47.8166,16,"plx",11.6180842882065,-0.667569071696309,8,20150315
"79",98,198,68.6227,16,"plx",11.959775210552,-0.325878149350806,8,20150315
"80",99,199,78.9516,16,"plx",11.8844818815868,-0.40117147831596,8,20150315
"81",102,80,0,2,"plx",10.6735120023529,0,8,20150315
"82",103,81,8.2161,2,"plx",10.5154652705507,-0.158046731802202,8,20150315
"83",104,82,25.4753,2,"plx",10.3640409451059,-0.309471057246947,8,20150315
"84",105,83,50.5491,2,"plx",10.60548100685,-0.06803099550282,8,20150315
"85",106,84,56.6316,2,"plx",10.637217933063,-0.036294069289865,8,20150315
"86",107,85,69.7797,2,"plx",10.7366273804088,0.063115378055997,8,20150315
"87",112,91,0,5,"plx",7.92761885805255,0,8,20150315
"88",113,92,8.2161,5,"plx",7.79228608897231,-0.135332769080241,8,20150315
"89",114,93,25.4753,5,"plx",7.60312154586434,-0.324497312188209,8,20150315
"90",115,94,50.5491,5,"plx",7.67115117868447,-0.256467679368081,8,20150315
"91",116,95,56.6316,5,"plx",7.70536759370614,-0.222251264346408,8,20150315
"92",117,96,69.7797,5,"plx",7.83245039593597,-0.0951684621165785,8,20150315
"93",122,1021,0,6,"plx",8.66652643019917,0,8,20150315
"94",123,1031,8.2161,6,"plx",8.61283863660722,-0.053687793591948,8,20150315
"95",124,1041,25.4753,6,"plx",8.660371319214,-0.00615511098517099,8,20150315
"96",125,1051,50.5491,6,"plx",8.99064705015158,0.324120619952414,8,20150315
"97",126,1061,56.6316,6,"plx",9.05848392814793,0.391957497948763,8,20150315
"98",127,1071,69.7797,6,"plx",9.20889705999089,0.542370629791719,8,20150315
"99",132,1131,0,9,"plx",9.63308067725889,0,8,20150315
"100",133,1141,8.2161,9,"plx",9.49876692759417,-0.134313749664711,8,20150315
"101",134,1151,25.4753,9,"plx",9.5522414944938,-0.080839182765086,8,20150315
"102",135,1161,50.5491,9,"plx",9.78744992376689,0.154369246508001,8,20150315
"103",136,1171,56.6316,9,"plx",9.80358035871744,0.170499681458553,8,20150315
"104",137,1181,69.7797,9,"plx",9.95307004910796,0.319989371849077,8,20150315
"105",142,1241,0,12,"plx",9.77712507092445,0,8,20150315
"106",143,1251,8.2161,12,"plx",9.639311111015,-0.137813959909453,8,20150315
"107",144,1261,25.4753,12,"plx",9.77027717205843,-0.006847898866022,8,20150315
"108",145,1271,50.5491,12,"plx",9.741892425792,-0.0352326451324491,8,20150315
"109",146,1281,56.6316,12,"plx",9.76405684636384,-0.013068224560611,8,20150315
"110",147,1291,69.7797,12,"plx",9.85397620212699,0.0768511312025359,8,20150315
