"","X.1","X","Time","cID","drug","l2","nl2","conc","Date"
"1",2,102,0,1,"plx",12.1469915681074,0,8,20150315
"2",3,103,6.8333,1,"plx",11.9912959906886,-0.155695577418836,8,20150315
"3",4,104,23.7597,1,"plx",11.3211269532617,-0.825864614845788,8,20150315
"4",5,105,31.0755,1,"plx",11.2397397490332,-0.907251819074254,8,20150315
"5",6,106,45.7508,1,"plx",11.2750190449838,-0.871972523123604,8,20150315
"6",7,107,47.8166,1,"plx",11.0717346657252,-1.07525690238223,8,20150315
"7",8,108,68.6227,1,"plx",11.2954555604112,-0.851536007696259,8,20150315
"8",9,109,78.9516,1,"plx",11.2365426448468,-0.910448923260615,8,20150315
"9",12,112,0,3,"plx",12.2854091832331,0,8,20150315
"10",13,113,6.8333,3,"plx",12.2912866370443,0.00587745381118904,8,20150315
"11",14,114,23.7597,3,"plx",12.3641745392876,0.078765356054496,8,20150315
"12",15,115,31.0755,3,"plx",12.4532426976528,0.167833514419655,8,20150315
"13",16,116,45.7508,3,"plx",12.7082895247622,0.422880341529126,8,20150315
"14",17,117,47.8166,3,"plx",12.6117283247817,0.326319141548573,8,20150315
"15",18,118,68.6227,3,"plx",13.0030633509314,0.717654167698316,8,20150315
"16",19,119,78.9516,3,"plx",13.1039761805218,0.818566997288666,8,20150315
"17",22,122,0,4,"plx",11.9099703895017,0,8,20150315
"18",23,123,6.8333,4,"plx",11.8343840418868,-0.075586347614888,8,20150315
"19",24,124,23.7597,4,"plx",11.4296116240812,-0.48035876542042,8,20150315
"20",25,125,31.0755,4,"plx",11.3251215280067,-0.584848861494969,8,20150315
"21",26,126,45.7508,4,"plx",11.2812923610442,-0.628678028457426,8,20150315
"22",27,127,47.8166,4,"plx",11.0014692920162,-0.908501097485433,8,20150315
"23",28,128,68.6227,4,"plx",11.2625212776243,-0.647449111877361,8,20150315
"24",29,129,78.9516,4,"plx",11.2102720299616,-0.699698359540074,8,20150315
"25",32,132,0,7,"plx",13.5137803925611,0,8,20150315
"26",33,133,6.8333,7,"plx",13.5169822149868,0.003201822425732,8,20150315
"27",34,134,23.7597,7,"plx",13.5170467124702,0.003266319909077,8,20150315
"28",35,135,31.0755,7,"plx",13.5241338761872,0.010353483626149,8,20150315
"29",36,136,45.7508,7,"plx",13.6279993719096,0.114218979348516,8,20150315
"30",37,137,47.8166,7,"plx",13.5515147075728,0.037734315011692,8,20150315
"31",38,138,68.6227,7,"plx",13.7310052398169,0.217224847255773,8,20150315
"32",39,139,78.9516,7,"plx",13.9188707052798,0.405090312718755,8,20150315
"33",42,142,0,8,"plx",12.6652825236639,0,8,20150315
"34",43,143,6.8333,8,"plx",12.6504619979686,-0.014820525695254,8,20150315
"35",44,144,23.7597,8,"plx",12.3170899139737,-0.348192609690182,8,20150315
"36",45,145,31.0755,8,"plx",12.3439267305297,-0.321355793134168,8,20150315
"37",46,146,45.7508,8,"plx",12.5694255589997,-0.095856964664177,8,20150315
"38",47,147,47.8166,8,"plx",12.359663876527,-0.305618647136928,8,20150315
"39",48,148,68.6227,8,"plx",12.5663325466557,-0.098949977008219,8,20150315
"40",49,149,78.9516,8,"plx",12.681542107237,0.016259583573098,8,20150315
"41",52,152,0,10,"plx",12.9210329219973,0,8,20150315
"42",53,153,6.8333,10,"plx",12.9923712856717,0.071338363674405,8,20150315
"43",54,154,23.7597,10,"plx",13.2414780714552,0.320445149457853,8,20150315
"44",55,155,31.0755,10,"plx",13.3433039831486,0.422271061151296,8,20150315
"45",56,156,45.7508,10,"plx",13.5845938435811,0.663560921583739,8,20150315
"46",57,157,47.8166,10,"plx",13.5235932090458,0.602560287048485,8,20150315
"47",58,158,68.6227,10,"plx",13.8358840852139,0.914851163216539,8,20150315
"48",59,159,78.9516,10,"plx",13.9381846450955,1.01715172309812,8,20150315
"49",62,162,0,11,"plx",12.2236224128217,0,8,20150315
"50",63,163,6.8333,11,"plx",12.2094652172254,-0.014157195596382,8,20150315
"51",64,164,23.7597,11,"plx",12.1794922556875,-0.044130157134194,8,20150315
"52",65,165,31.0755,11,"plx",12.3041006235731,0.080478210751334,8,20150315
"53",66,166,45.7508,11,"plx",12.6153896368052,0.391767223983505,8,20150315
"54",67,167,47.8166,11,"plx",12.485446345654,0.261823932832252,8,20150315
"55",68,168,68.6227,11,"plx",12.8870518702958,0.66342945747406,8,20150315
"56",69,169,78.9516,11,"plx",13.0214990282873,0.797876615465613,8,20150315
"57",72,172,0,13,"plx",10.4592721487335,0,8,20150315
"58",73,173,6.8333,13,"plx",10.4092062997966,-0.0500658489368179,8,20150315
"59",74,174,23.7597,13,"plx",10.1836830254268,-0.275589123306649,8,20150315
"60",75,175,31.0755,13,"plx",10.1609026031973,-0.298369545536112,8,20150315
"61",76,176,45.7508,13,"plx",10.2484881500794,-0.210783998654082,8,20150315
"62",77,177,47.8166,13,"plx",9.6647325279442,-0.794539620789252,8,20150315
"63",78,178,68.6227,13,"plx",10.0596695719898,-0.399602576743627,8,20150315
"64",79,179,78.9516,13,"plx",10.1656840184516,-0.293588130281815,8,20150315
"65",82,182,0,15,"plx",10.6401256979796,0,8,20150315
"66",83,183,6.8333,15,"plx",10.6294715879426,-0.010654110036978,8,20150315
"67",84,184,23.7597,15,"plx",10.3874796944389,-0.252646003540674,8,20150315
"68",85,185,31.0755,15,"plx",10.2957973128389,-0.344328385140682,8,20150315
"69",86,186,45.7508,15,"plx",10.3254835762923,-0.314642121687232,8,20150315
"70",87,187,47.8166,15,"plx",10.0256229829682,-0.614502715011403,8,20150315
"71",88,188,68.6227,15,"plx",10.372118858161,-0.268006839818587,8,20150315
"72",89,189,78.9516,15,"plx",10.4400390348862,-0.200086663093388,8,20150315
"73",92,192,0,16,"plx",12.2856533599028,0,8,20150315
"74",93,193,6.8333,16,"plx",12.1556307216333,-0.130022638269487,8,20150315
