column,row,cell.count,time,well,nl2,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,expt.date,cell.line,plate.name,expt.id
2,B,210,0,B02,0,DASATINIB,0,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
2,B,395,17.5147,B02,0.9114633254,DASATINIB,0,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
2,B,474,24.4492,B02,1.1744977312,DASATINIB,0,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
2,B,772,38.8892,B02,1.8782115196,DASATINIB,0,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
2,B,966,49.1056,B02,2.2016338612,DASATINIB,0,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
2,B,1360,62.6897,B02,2.6951454185,DASATINIB,0,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
2,B,1651,71.8858,B02,2.9748788872,DASATINIB,0,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
2,B,2652,89.4444,B02,3.6586195424,DASATINIB,0,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
2,B,2433,97.0619,B02,3.5342750873,DASATINIB,0,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
2,B,3594,112.0525,B02,4.0971291758,DASATINIB,0,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
2,B,4298,120.315,B02,4.3552042498,DASATINIB,0,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
2,B,5243,135.9161,B02,4.6419313129,DASATINIB,0,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
2,B,5856,145.1203,B02,4.8014543206,DASATINIB,0,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
3,B,264,0,B03,0,DASATINIB,0.000001,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
3,B,507,17.5147,B03,0.9414478176,DASATINIB,0.000001,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
3,B,645,24.4492,B03,1.288761231,DASATINIB,0.000001,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
3,B,913,38.8892,B03,1.7900769306,DASATINIB,0.000001,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
3,B,932,49.1056,B03,1.8197920253,DASATINIB,0.000001,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
3,B,862,62.6897,B03,1.7071499397,DASATINIB,0.000001,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
3,B,780,71.8858,B03,1.5629361944,DASATINIB,0.000001,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
3,B,755,89.4444,B03,1.5159387149,DASATINIB,0.000001,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
3,B,749,97.0619,B03,1.5044277891,DASATINIB,0.000001,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
3,B,657,112.0525,B03,1.315355441,DASATINIB,0.000001,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
3,B,521,120.315,B03,0.9807454429,DASATINIB,0.000001,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
3,B,497,135.9161,B03,0.9127079222,DASATINIB,0.000001,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
3,B,456,145.1203,B03,0.7884958948,DASATINIB,0.000001,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
4,B,292,0,B04,0,DASATINIB,0.0000005,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
4,B,568,17.5147,B04,0.9599225606,DASATINIB,0.0000005,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
4,B,691,24.4492,B04,1.2427173415,DASATINIB,0.0000005,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
4,B,956,38.8892,B04,1.7110422491,DASATINIB,0.0000005,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
4,B,898,49.1056,B04,1.6207470759,DASATINIB,0.0000005,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
4,B,847,62.6897,B04,1.5363936005,DASATINIB,0.0000005,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
4,B,787,71.8858,B04,1.4303952666,DASATINIB,0.0000005,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
4,B,708,89.4444,B04,1.2777809912,DASATINIB,0.0000005,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
4,B,819,97.0619,B04,1.4878950828,DASATINIB,0.0000005,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
4,B,677,112.0525,B04,1.2131874647,DASATINIB,0.0000005,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
4,B,499,120.315,B04,0.7730714465,DASATINIB,0.0000005,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
4,B,434,135.9161,B04,0.5717266736,DASATINIB,0.0000005,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
4,B,381,145.1203,B04,0.3838226286,DASATINIB,0.0000005,M,OSIMERTINIB,0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib
