,column,row,cell.count,time,well,nl2,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,expt.date,cell.line,plate.name,expt.id,per_via,per_via_std
0,2,B,273,0.0,B02,0.0,linsitinib,0.0,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.513975884003,0.0354960362283
13,3,B,256,0.0,B03,0.0,linsitinib,5e-06,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.340993943244,0.0235496133958
26,4,B,310,0.0,B04,0.0,linsitinib,2.5e-06,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.339293900004,0.0234322055595
39,5,B,310,0.0,B05,0.0,linsitinib,1.25e-06,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.327874941671,0.0226435931532
52,6,B,332,0.0,B06,0.0,linsitinib,6.25e-07,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.358976690595,0.0247915320759
65,7,B,243,0.0,B07,0.0,linsitinib,3.125e-07,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.401843507521,0.0277519863189
78,8,B,283,0.0,B08,0.0,linsitinib,1.5625e-07,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.409544917396,0.0282838585962
91,9,B,273,0.0,B09,0.0,linsitinib,7.8125e-08,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.455661284405,0.0314687322159
104,10,B,284,0.0,B10,0.0,linsitinib,3.9063e-08,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.441654379632,0.0305013918897
117,11,B,218,0.0,B11,0.0,linsitinib,1.9531e-08,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.507409660299,0.0350425618111
130,2,C,271,0.0,C02,0.0,linsitinib,0.0,M,osimertinib,2e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.397448732737,0.0274484758045
143,3,C,371,0.0,C03,0.0,linsitinib,5e-06,M,osimertinib,2e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.319435169895,0.0220607283651
156,4,C,410,0.0,C04,0.0,linsitinib,2.5e-06,M,osimertinib,2e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.325206981243,0.0224593393332
169,5,C,410,0.0,C05,0.0,linsitinib,1.25e-06,M,osimertinib,2e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.308289517922,0.0212909909542
182,6,C,440,0.0,C06,0.0,linsitinib,6.25e-07,M,osimertinib,2e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.34014611287,0.0234910608088
195,7,C,486,0.0,C07,0.0,linsitinib,3.125e-07,M,osimertinib,2e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.348003310313,0.0240336920368
208,8,C,399,0.0,C08,0.0,linsitinib,1.5625e-07,M,osimertinib,2e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.353680007724,0.0244257342769
221,9,C,392,0.0,C09,0.0,linsitinib,7.8125e-08,M,osimertinib,2e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.378815999323,0.0261616679972
234,10,C,344,0.0,C10,0.0,linsitinib,3.9063e-08,M,osimertinib,2e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.38819953456,0.0268097106721
247,11,C,309,0.0,C11,0.0,linsitinib,1.9531e-08,M,osimertinib,2e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.313689877858,0.021663948865
260,2,D,303,0.0,D02,0.0,linsitinib,0.0,M,osimertinib,1e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.310195979534,0.0214226543893
273,3,D,446,0.0,D03,0.0,linsitinib,5e-06,M,osimertinib,1e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.291765565761,0.0201498191156
286,4,D,505,0.0,D04,0.0,linsitinib,2.5e-06,M,osimertinib,1e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.320579853113,0.0221397821072
299,5,D,522,0.0,D05,0.0,linsitinib,1.25e-06,M,osimertinib,1e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.329581291723,0.0227614365485
312,6,D,514,0.0,D06,0.0,linsitinib,6.25e-07,M,osimertinib,1e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.316944229206,0.0218886998251
325,7,D,556,0.0,D07,0.0,linsitinib,3.125e-07,M,osimertinib,1e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.339705048416,0.0234606001582
338,8,D,542,0.0,D08,0.0,linsitinib,1.5625e-07,M,osimertinib,1e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.326910370448,0.0225769782474
351,9,D,569,0.0,D09,0.0,linsitinib,7.8125e-08,M,osimertinib,1e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.369556435366,0.0255221869867
364,10,D,462,0.0,D10,0.0,linsitinib,3.9063e-08,M,osimertinib,1e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.351667546415,0.0242867503251
377,11,D,337,0.0,D11,0.0,linsitinib,1.9531e-08,M,osimertinib,1e-07,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.419078618511,0.0289422719785
390,2,E,278,0.0,E02,0.0,linsitinib,0.0,M,osimertinib,5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.37980962255,0.026230289283
403,3,E,387,0.0,E03,0.0,linsitinib,5e-06,M,osimertinib,5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.326618739333,0.0225568377137
416,4,E,433,0.0,E04,0.0,linsitinib,2.5e-06,M,osimertinib,5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.323594989277,0.0223480124656
