,column,row,cell.count,time,well,nl2,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,expt.date,cell.line,plate.name,expt.id,per_via,per_via_std
429,5,E,487,0.0,E05,0.0,linsitinib,1.25e-06,M,osimertinib,5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.354654806155,0.0244930554908
442,6,E,492,0.0,E06,0.0,linsitinib,6.25e-07,M,osimertinib,5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.329117651839,0.0227294168008
455,7,E,482,0.0,E07,0.0,linsitinib,3.125e-07,M,osimertinib,5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.354627934496,0.024491199689
468,8,E,520,0.0,E08,0.0,linsitinib,1.5625e-07,M,osimertinib,5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.35823017158,0.0247399762212
481,9,E,517,0.0,E09,0.0,linsitinib,7.8125e-08,M,osimertinib,5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.36857683465,0.0254545341189
494,10,E,498,0.0,E10,0.0,linsitinib,3.9063e-08,M,osimertinib,5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.374055600847,0.0258329068976
507,11,E,370,0.0,E11,0.0,linsitinib,1.9531e-08,M,osimertinib,5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.408941590835,0.0282421918524
520,2,F,256,0.0,F02,0.0,linsitinib,0.0,M,osimertinib,2.5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.408470461223,0.0282096548516
533,3,F,303,0.0,F03,0.0,linsitinib,5e-06,M,osimertinib,2.5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.318833259697,0.0220191594377
546,4,F,438,0.0,F04,0.0,linsitinib,2.5e-06,M,osimertinib,2.5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.311559748264,0.0215168385442
559,5,F,403,0.0,F05,0.0,linsitinib,1.25e-06,M,osimertinib,2.5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.34024676354,0.0234980119128
572,6,F,420,0.0,F06,0.0,linsitinib,6.25e-07,M,osimertinib,2.5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.323848633635,0.0223655295701
585,7,F,423,0.0,F07,0.0,linsitinib,3.125e-07,M,osimertinib,2.5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.337627429766,0.0233171163311
598,8,F,361,0.0,F08,0.0,linsitinib,1.5625e-07,M,osimertinib,2.5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.358624569184,0.0247672139809
611,9,F,426,0.0,F09,0.0,linsitinib,7.8125e-08,M,osimertinib,2.5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.369443804376,0.0255144085017
624,10,F,410,0.0,F10,0.0,linsitinib,3.9063e-08,M,osimertinib,2.5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.400707459812,0.0276735289595
637,11,F,369,0.0,F11,0.0,linsitinib,1.9531e-08,M,osimertinib,2.5e-08,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.398358094,0.0275112778178
650,2,G,319,0.0,G02,0.0,linsitinib,0.0,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.2220864387,0.0843993382813
663,3,G,262,0.0,G03,0.0,linsitinib,0.0,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.950350420015,0.065632793266
676,4,G,263,0.0,G04,0.0,linsitinib,0.0,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.02421377363,0.0707339202981
689,5,G,289,0.0,G05,0.0,linsitinib,0.0,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.981024686286,0.06775120952
702,6,G,308,0.0,G06,0.0,linsitinib,0.0,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.10125459405,0.0760544885151
715,7,G,307,0.0,G07,0.0,linsitinib,0.0,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.13442114107,0.0783450258564
728,8,G,340,0.0,G08,0.0,linsitinib,0.0,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.0813910809,0.0746826809961
741,9,G,282,0.0,G09,0.0,linsitinib,0.0,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.05288002368,0.072713659586
754,10,G,331,0.0,G10,0.0,linsitinib,0.0,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.03357257497,0.071380254809
767,11,G,332,0.0,G11,0.0,linsitinib,0.0,M,osimertinib,0.0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.15175424495,0.0795420790688
780,2,B,180,0.0,B02,0.0,linsitinib,0.0,M,osimertinib,6.25e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.588776271837,0.0406618764148
793,3,B,255,0.0,B03,0.0,linsitinib,5e-06,M,osimertinib,6.25e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.356475016833,0.0246187622918
806,4,B,264,0.0,B04,0.0,linsitinib,2.5e-06,M,osimertinib,6.25e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.336944944974,0.0232699827871
819,5,B,318,0.0,B05,0.0,linsitinib,1.25e-06,M,osimertinib,6.25e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.331036720457,0.0228619508969
832,6,B,325,0.0,B06,0.0,linsitinib,6.25e-07,M,osimertinib,6.25e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.356579222853,0.0246259589342
845,7,B,281,0.0,B07,0.0,linsitinib,3.125e-07,M,osimertinib,6.25e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.371804824119,0.0256774644834
858,8,B,242,0.0,B08,0.0,linsitinib,1.5625e-07,M,osimertinib,6.25e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.405129796116,0.0279789429187
871,9,B,278,0.0,B09,0.0,linsitinib,7.8125e-08,M,osimertinib,6.25e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.398533251479,0.027523374487
884,10,B,283,0.0,B10,0.0,linsitinib,3.9063e-08,M,osimertinib,6.25e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.424784772943,0.0293363485699
897,11,B,191,0.0,B11,0.0,linsitinib,1.9531e-08,M,osimertinib,6.25e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.476888875831,0.0329347452677
910,2,C,288,0.0,C02,0.0,linsitinib,0.0,M,osimertinib,3.125e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.68754914428,0.0474832965782
923,3,C,315,0.0,C03,0.0,linsitinib,5e-06,M,osimertinib,3.125e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.354382346443,0.0244742389663
936,4,C,329,0.0,C04,0.0,linsitinib,2.5e-06,M,osimertinib,3.125e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.376668364742,0.0260133487525
949,5,C,380,0.0,C05,0.0,linsitinib,1.25e-06,M,osimertinib,3.125e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.383607413932,0.0264925711229
962,6,C,392,0.0,C06,0.0,linsitinib,6.25e-07,M,osimertinib,3.125e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.378474051504,0.0261380525075
975,7,C,412,0.0,C07,0.0,linsitinib,3.125e-07,M,osimertinib,3.125e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.411604361729,0.0284260872745
988,8,C,318,0.0,C08,0.0,linsitinib,1.5625e-07,M,osimertinib,3.125e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.459078489839,0.0317047301521
1001,9,C,427,0.0,C09,0.0,linsitinib,7.8125e-08,M,osimertinib,3.125e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.428688273662,0.0296059308738
1014,10,C,361,0.0,C10,0.0,linsitinib,3.9063e-08,M,osimertinib,3.125e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.463479800205,0.0320086920247
1027,11,C,283,0.0,C11,0.0,linsitinib,1.9531e-08,M,osimertinib,3.125e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.536182504147,0.0370296626448
1040,2,D,219,0.0,D02,0.0,linsitinib,0.0,M,osimertinib,1.5625e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.856047279542,0.059120060286
1053,3,D,394,0.0,D03,0.0,linsitinib,5e-06,M,osimertinib,1.5625e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.402842231041,0.0278209598395
1066,4,D,493,0.0,D04,0.0,linsitinib,2.5e-06,M,osimertinib,1.5625e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.37502378447,0.0258997712818
1079,5,D,494,0.0,D05,0.0,linsitinib,1.25e-06,M,osimertinib,1.5625e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.466367871854,0.0322081470946
1092,6,D,567,0.0,D06,0.0,linsitinib,6.25e-07,M,osimertinib,1.5625e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.437020126256,0.0301813425822
1105,7,D,569,0.0,D07,0.0,linsitinib,3.125e-07,M,osimertinib,1.5625e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.444610526771,0.0307055483671
1118,8,D,519,0.0,D08,0.0,linsitinib,1.5625e-07,M,osimertinib,1.5625e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.599309051193,0.0413892878153
1131,9,D,479,0.0,D09,0.0,linsitinib,7.8125e-08,M,osimertinib,1.5625e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.544036908815,0.0375721009991
1144,10,D,407,0.0,D10,0.0,linsitinib,3.9063e-08,M,osimertinib,1.5625e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.592102825865,0.0408916138129
1157,11,D,288,0.0,D11,0.0,linsitinib,1.9531e-08,M,osimertinib,1.5625e-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.61075518532,0.0421797770275
1170,2,E,287,0.0,E02,0.0,linsitinib,0.0,M,osimertinib,7.8125e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.28322426303,0.0886216189264
1183,3,E,349,0.0,E03,0.0,linsitinib,5e-06,M,osimertinib,7.8125e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.477914397886,0.0330055695401
1196,4,E,363,0.0,E04,0.0,linsitinib,2.5e-06,M,osimertinib,7.8125e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.568041774118,0.039229917241
1209,5,E,456,0.0,E05,0.0,linsitinib,1.25e-06,M,osimertinib,7.8125e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.699963936612,0.04834068295
1222,6,E,454,0.0,E06,0.0,linsitinib,6.25e-07,M,osimertinib,7.8125e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.674807756891,0.0466033550042
1235,7,E,535,0.0,E07,0.0,linsitinib,3.125e-07,M,osimertinib,7.8125e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.728761839624,0.0503295144115
1248,8,E,447,0.0,E08,0.0,linsitinib,1.5625e-07,M,osimertinib,7.8125e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.916486424483,0.0632940889617
1261,9,E,491,0.0,E09,0.0,linsitinib,7.8125e-08,M,osimertinib,7.8125e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.834874549937,0.0576578360834
1274,10,E,325,0.0,E10,0.0,linsitinib,3.9063e-08,M,osimertinib,7.8125e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.921055224267,0.0636096179343
1287,11,E,191,0.0,E11,0.0,linsitinib,1.9531e-08,M,osimertinib,7.8125e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.974620983924,0.0673089590991
1300,2,F,212,0.0,F02,0.0,linsitinib,0.0,M,osimertinib,3.9063e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.10522841813,0.0763289274681
1313,3,F,315,0.0,F03,0.0,linsitinib,5e-06,M,osimertinib,3.9063e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.603374517632,0.0416700557433
1326,4,F,346,0.0,F04,0.0,linsitinib,2.5e-06,M,osimertinib,3.9063e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.759479996288,0.0524509618097
1339,5,F,370,0.0,F05,0.0,linsitinib,1.25e-06,M,osimertinib,3.9063e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.897091214448,0.0619546232407
1352,6,F,416,0.0,F06,0.0,linsitinib,6.25e-07,M,osimertinib,3.9063e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.914779176994,0.0631761835879
1365,7,F,453,0.0,F07,0.0,linsitinib,3.125e-07,M,osimertinib,3.9063e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.00938454743,0.069709789076
1378,8,F,397,0.0,F08,0.0,linsitinib,1.5625e-07,M,osimertinib,3.9063e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.1077420171,0.0765025208271
1391,9,F,419,0.0,F09,0.0,linsitinib,7.8125e-08,M,osimertinib,3.9063e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.16950079619,0.0807676856497
1404,10,F,379,0.0,F10,0.0,linsitinib,3.9063e-08,M,osimertinib,3.9063e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.17224332364,0.0809570891929
1417,11,F,268,0.0,F11,0.0,linsitinib,1.9531e-08,M,osimertinib,3.9063e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.20964964428,0.0835404324084
1430,2,G,180,0.0,G02,0.0,linsitinib,0.0,M,osimertinib,1.9531e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.32847625751,0.0917467975301
1443,3,G,182,0.0,G03,0.0,linsitinib,5e-06,M,osimertinib,1.9531e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.676951474369,0.0467514037271
1456,4,G,218,0.0,G04,0.0,linsitinib,2.5e-06,M,osimertinib,1.9531e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.861241253964,0.0594787648672
1469,5,G,262,0.0,G05,0.0,linsitinib,1.25e-06,M,osimertinib,1.9531e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.03307472767,0.0713458726395
1482,6,G,283,0.0,G06,0.0,linsitinib,6.25e-07,M,osimertinib,1.9531e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.12954581398,0.0780083275937
1495,7,G,269,0.0,G07,0.0,linsitinib,3.125e-07,M,osimertinib,1.9531e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.18062632817,0.0815360335404
1508,8,G,266,0.0,G08,0.0,linsitinib,1.5625e-07,M,osimertinib,1.9531e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.19047760551,0.0822163792685
1521,9,G,252,0.0,G09,0.0,linsitinib,7.8125e-08,M,osimertinib,1.9531e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.23306252085,0.0851573649157
1534,10,G,278,0.0,G10,0.0,linsitinib,3.9063e-08,M,osimertinib,1.9531e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.20519457121,0.0832327575927
1547,11,G,221,0.0,G11,0.0,linsitinib,1.9531e-08,M,osimertinib,1.9531e-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.29706672492,0.0895776025514
